sample,myCAF,iCAF,apCAF,SASP,matrisome_core,MAPK_targets,RASON_inhibition_PD
AAP01|AAP01_MRTX1_Mouse,-0.10127013708136534,1.0539185941595877,1.0965672606828412,0.17677638156672013,0.7059129292122615,0.044808714374365316,0.08666783071052532
AAP01|AAP01_MRTX2_Mouse,0.22648994084741955,0.781656029212085,1.1469156091902541,0.2655650273644564,0.4894042428706487,-0.1309355393269968,-0.132086659524216
AAP01|AAP01_MRTX3_Mouse,0.45528463503321875,0.46946053380376096,0.8656634222346202,0.1515592959272874,0.7252082166471316,-0.19805856451655737,-0.09972171096660123
AAP01|AAP01_VC1_Mouse,0.3043980992324808,-0.029369388070450104,0.33276054378604175,-0.25863712742319234,-0.3849755060279076,-0.8130949124387656,-0.7797788696954804
AAP01|AAP01_VC2_Mouse,1.072897892950832,-0.42162434887218553,-0.04946717566778869,-0.43830047418700785,-0.3467102041056612,-1.1295133057452207,-1.0340649850224983
AAP01|AAP01_VC3_Mouse,0.2508057764541424,-0.20955397064368517,-0.34379485917318,-0.5698597019344976,0.051578063658892274,-0.8418736640822739,-0.8576405691026235
AAP16|AAP16_RMC1_Mouse,-0.5838413715463693,0.22519110034722797,-0.8014740116568774,0.5565890182348258,-1.2950335301383726,-0.5826192212922622,-0.6414462384676208
AAP16|AAP16_RMC2_Mouse,-0.10011370082709092,0.3257416949623411,0.005533571302290996,0.8037040441286605,0.5977137176088426,0.26247786757981834,0.16457943963932706
AAP16|AAP16_VC1_Mouse,-0.828712994821642,-0.9310947267918129,-1.487304804465203,-0.13578352089065251,-0.5519160738904652,1.1148197765813104,1.0526578885302327
AAP16|AAP16_VC2_Mouse,-0.4293724546843504,-0.7275003937391215,-0.6234514174543709,-0.3345493519185553,-0.1521022258870404,1.1695073609551312,1.1418856613393442
AAP16|AAP16_VC3_Mouse,-0.2665656855572764,-0.536825124367751,-0.14194813877863094,-0.21706359086804403,0.16092037005166918,1.104481487911449,1.0989482125596086
