sample,myCAF,iCAF,apCAF,SASP,matrisome_core,MAPK_targets,RASON_inhibition_PD
AAP01|AAP01_MRTX1_Mouse,0.9419352433500475,0.9155808650374984,0.9891177512256044,0.7863507212492244,0.9866500603849924,0.8589617727407352,0.8664044587768187
AAP01|AAP01_MRTX2_Mouse,0.9671991599405994,0.9268551829552445,0.9917162189870823,0.8051888136468822,0.9874663124342069,0.8638931865300534,0.8690460656833425
AAP01|AAP01_MRTX3_Mouse,0.9645599940350813,0.9038436445653998,0.98902082129476,0.802150433122342,0.9906297796610005,0.8592424138866623,0.870027348087631
AAP01|AAP01_VC1_Mouse,0.9883171472775737,0.9219853859488879,0.9863832087535183,0.8149144273811076,0.9928317961567479,0.8836312686015373,0.8918379139826751
AAP01|AAP01_VC2_Mouse,0.9948086565884392,0.8771304391050135,0.97958320129737,0.7646353543934025,0.9929039049615762,0.8405606195230965,0.8538568259708306
AAP01|AAP01_VC3_Mouse,0.9841013166315608,0.8988216178599612,0.9687736499711075,0.7568762998330356,0.9961713658388706,0.8766649476102009,0.882819968630918
AAP16|AAP16_RMC1_Mouse,0.9195807780490988,0.8906897558732703,0.8912185210729398,0.8827893451637557,0.9777654707723884,0.8940098131199217,0.8979612759600456
AAP16|AAP16_RMC2_Mouse,0.9222339242331041,0.8774706258815342,0.9082185397133111,0.8594336256321083,0.9905684626500918,0.9037566561659243,0.9032777761504438
AAP16|AAP16_VC1_Mouse,0.8597747000453584,0.8146106337104903,0.8455328350140734,0.7754707359484885,0.9602376353021164,0.9350683376723976,0.9332821166940504
AAP16|AAP16_VC2_Mouse,0.8812950087299072,0.8192676198109866,0.8983391429157267,0.7446442218843284,0.9685571273421871,0.9384670987090507,0.9377358339835273
AAP16|AAP16_VC3_Mouse,0.8828763335632313,0.826122616362518,0.9283799653289094,0.7671764364403282,0.9697466773538129,0.9284810375644906,0.9300227146239038
