sample,myCAF,iCAF,apCAF,SASP,matrisome_core,MAPK_targets,RASON_inhibition_PD,model,sample,treatment
AAP01|AAP01_MRTX1_Human,0.7847535671180332,0.4862302906050735,0.5442727708612337,0.5044199747587476,0.8056217623568867,0.8311095679777788,0.8178295672219583,AAP01,AAP01_MRTX1_Human,treated
AAP01|AAP01_MRTX2_Human,0.7174095751423266,0.4855018949309907,0.5550175255857017,0.4846805438442759,0.8009671269090837,0.8780548069521831,0.8855416279899193,AAP01,AAP01_MRTX2_Human,treated
AAP01|AAP01_MRTX3_Human,0.8085012868629753,0.5001295129760979,0.473998892250715,0.5622356695269745,0.8389321227278304,0.8638460393829672,0.8543333309713945,AAP01,AAP01_MRTX3_Human,treated
AAP01|AAP01_VC1_Human,0.7195616950217417,0.587957681405427,0.652695798819503,0.6842826358921791,0.7794713085973701,0.9192932081925682,0.9200164863326412,AAP01,AAP01_VC1_Human,vehicle
AAP01|AAP01_VC2_Human,0.7998404510358283,0.6541884129057384,0.6733710298761636,0.7597170554811544,0.7799977723187985,0.9250615875535276,0.926910985613431,AAP01,AAP01_VC2_Human,vehicle
AAP01|AAP01_VC3_Human,0.719394981509956,0.5706709139574573,0.6208046062529967,0.6500460184404433,0.8118340342697427,0.9149145673623628,0.912780686899034,AAP01,AAP01_VC3_Human,vehicle
AAP16|AAP16_RMC1_Human,0.7059518101505106,0.497012016232293,0.4458608203958137,0.5833424267976126,0.7555450552873926,0.8896788261899119,0.870630708510774,AAP16,AAP16_RMC1_Human,treated
AAP16|AAP16_RMC2_Human,0.7872046690805682,0.496403029685109,0.4417108939702065,0.6156567410126261,0.83192623938697,0.8744155841770048,0.8522253006157575,AAP16,AAP16_RMC2_Human,treated
AAP16|AAP16_VC1_Human,0.773202111888189,0.4890795760792288,0.4365441529024684,0.57131590694906,0.8490606755965355,0.8345614102769006,0.7954124063196033,AAP16,AAP16_VC1_Human,vehicle
AAP16|AAP16_VC2_Human,0.691679204624991,0.4931100933779371,0.5559248053171966,0.5704837171877497,0.8515202618917712,0.891798797458239,0.8709424844289185,AAP16,AAP16_VC2_Human,vehicle
AAP16|AAP16_VC3_Human,0.695824997657744,0.4895636423090419,0.548251161483392,0.5698223743310794,0.8478406720635725,0.890048075951553,0.8685096874918808,AAP16,AAP16_VC3_Human,vehicle
