sample,myCAF,iCAF,apCAF,SASP,matrisome_core,MAPK_targets,RASON_inhibition_PD,model,sample,treatment
AAP01|AAP01_MRTX1_Mouse,-0.1012701370813653,1.0539185941595877,1.0965672606828412,0.1767763815667201,0.7059129292122615,0.0448087143743653,0.0866678307105253,AAP01,AAP01_MRTX1_Mouse,treated
AAP01|AAP01_MRTX2_Mouse,0.2264899408474195,0.781656029212085,1.146915609190254,0.2655650273644564,0.4894042428706487,-0.1309355393269968,-0.132086659524216,AAP01,AAP01_MRTX2_Mouse,treated
AAP01|AAP01_MRTX3_Mouse,0.4552846350332187,0.4694605338037609,0.8656634222346202,0.1515592959272874,0.7252082166471316,-0.1980585645165573,-0.0997217109666012,AAP01,AAP01_MRTX3_Mouse,treated
AAP01|AAP01_VC1_Mouse,0.3043980992324808,-0.0293693880704501,0.3327605437860417,-0.2586371274231923,-0.3849755060279076,-0.8130949124387656,-0.7797788696954804,AAP01,AAP01_VC1_Mouse,vehicle
AAP01|AAP01_VC2_Mouse,1.072897892950832,-0.4216243488721855,-0.0494671756677886,-0.4383004741870078,-0.3467102041056612,-1.129513305745221,-1.0340649850224983,AAP01,AAP01_VC2_Mouse,vehicle
AAP01|AAP01_VC3_Mouse,0.2508057764541424,-0.2095539706436851,-0.34379485917318,-0.5698597019344976,0.0515780636588922,-0.8418736640822739,-0.8576405691026235,AAP01,AAP01_VC3_Mouse,vehicle
AAP16|AAP16_RMC1_Mouse,-0.5838413715463693,0.2251911003472279,-0.8014740116568774,0.5565890182348258,-1.2950335301383726,-0.5826192212922622,-0.6414462384676208,AAP16,AAP16_RMC1_Mouse,treated
AAP16|AAP16_RMC2_Mouse,-0.1001137008270909,0.3257416949623411,0.0055335713022909,0.8037040441286605,0.5977137176088426,0.2624778675798183,0.164579439639327,AAP16,AAP16_RMC2_Mouse,treated
AAP16|AAP16_VC1_Mouse,-0.828712994821642,-0.9310947267918128,-1.487304804465203,-0.1357835208906525,-0.5519160738904652,1.1148197765813104,1.052657888530233,AAP16,AAP16_VC1_Mouse,vehicle
AAP16|AAP16_VC2_Mouse,-0.4293724546843504,-0.7275003937391215,-0.6234514174543709,-0.3345493519185553,-0.1521022258870404,1.1695073609551312,1.1418856613393442,AAP16,AAP16_VC2_Mouse,vehicle
AAP16|AAP16_VC3_Mouse,-0.2665656855572764,-0.536825124367751,-0.1419481387786309,-0.217063590868044,0.1609203700516691,1.104481487911449,1.0989482125596086,AAP16,AAP16_VC3_Mouse,vehicle
