sample,myCAF,iCAF,apCAF,SASP,matrisome_core,MAPK_targets,RASON_inhibition_PD
1c49d2cb-2071-473f-a517-2010e28475ab,-0.11718665027582147,-0.8330318278945463,0.19643523123762163,-0.5018818166306251,-0.3557018993733283,0.19209725843754166,0.4888287426363681
a713387e-6f3f-4af2-8494-77355a54caa0,-2.192797260434728,-1.253053523280086,-2.7279187892123766,-1.8356555790788778,-2.4417162189328074,-0.4965544252821388,-0.8277730401942461
d73129d0-ec0b-46eb-817a-320040bc305d,1.5752595487964538,0.6811622281417988,0.20257982594309878,0.7227104787767418,1.752408395346918,0.787279674035338,0.6939388857220011
1a96328e-49a7-4655-abcd-d463138f457f,-0.8314089783929303,-0.41735613328246784,-0.3919659567957598,-0.0658267700203461,-0.7439749786587403,-0.35534587778909504,-0.6120547726697346
952b8bf3-3da4-4228-9541-004e17709cb1,0.7910967473433329,-0.18412869778678115,0.5268654787350069,0.2591485845797855,0.5927145038687889,1.5913135882999847,1.8298415599431987
9bfe5f73-1481-41e3-b8fc-d57b057bae31,1.0633292836301946,0.403774491854534,1.5370693747642261,0.7859396356240388,0.8227256138842732,-0.22679123897925224,-0.19271984734675618
2542cead-e252-4c01-bd34-8cf170d49f4f,1.111662759460278,1.070201542101275,0.8347612019400393,0.4481594376646422,0.924704690468369,-0.25638236316565016,-0.3359081838683772
0c098157-254b-492b-ad08-54cf813814d9,-0.2610628055436002,-0.13468079037904335,0.8889101959684731,0.05989926161131427,-0.3391569716060977,-0.6102150044633531,-0.548936843250509
818a7d3a-8c14-4fd6-83f1-000cca2be04b,0.6999443245694973,1.4299950319985588,0.5913465137733619,0.9876966325041939,0.8368623157859706,0.5575010853188009,0.5154055235384548
ef502468-0656-4c82-ad4c-bbbba43986be,-1.0154319196698862,-0.9506423708722753,-1.1204823489338747,-0.6196616955881308,-0.9920887043872926,-0.37056901897655103,-0.1563046392942248
1244d7e1-7a90-4a47-b92b-fd93edd8561f,0.8019586347687006,0.41055734905565333,0.3571129786816146,0.4000388770412633,0.8063414111994699,0.605143853037627,0.6575116776711255
68cae6f7-73dd-481d-aac9-dc023e6c12d6,-0.1586438904901585,1.4074033690325127,-0.08051014061254518,0.44174118271733326,0.03640040555877072,-0.08517313172184482,-0.053011795432290544
2493df6e-8c76-4557-a7af-6d1264e9dac4,0.933608957124417,0.6715101233080918,0.8121537891042812,0.3365616686686392,1.0577955793975462,-0.4254694167963006,-0.464694490012643
