gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
Mocs3,4.173599149042878,3.8715785446147333,-0.3020206044281446,1.7233449694861795e-05,0.00230493206792637,9,9
Wnt10a,0.7059535410573375,2.6195560403766724,1.9136024993193348,1.7666063146044684e-05,0.0023192550301953563,9,9
Abcc3,7.617621257609617,5.213148574739595,-2.404472682870022,1.767724870575729e-05,0.0023192550301953563,9,9
Gm35315,2.7479829196131913,2.004300016224095,-0.7436829033890962,1.7932885256660393e-05,0.002330598370714656,9,9
Lrrc26,3.1842590972802824,0.9578099786421852,-2.2264491186380972,1.8196676880030277e-05,0.002342779632703711,9,9
Gm43437,2.0263958249865444,0.9302798505803636,-1.0961159744061808,1.9051921799074054e-05,0.0024078832541655428,9,9
Sc5d,6.830368954522021,5.929532195745187,-0.9008367587768342,1.8884218759139246e-05,0.0024078832541655428,9,9
Rffl,4.97912548004083,4.1015972217260135,-0.8775282583148165,1.9427635599009424e-05,0.0024330464364723074,9,9
Gm5148,2.0281935211136646,0.9504921682048041,-1.0777013529088606,2.1041965735098357e-05,0.0026114785582586936,9,9
Epb41l5,5.024250834808862,4.090462662425013,-0.9337881723838493,2.1798971002117613e-05,0.0026622962054130028,9,9
Gm7575,2.1082843517768244,0.9459664945658454,-1.162317857210979,2.183794070932559e-05,0.0026622962054130028,9,9
Phf19,3.3578275876991213,4.946162552266319,1.5883349645671978,2.374106783856715e-05,0.002843973482992183,9,9
Slc17a4,3.0624566347097137,0.6639276094454056,-2.398529025264308,2.3712010846696384e-05,0.002843973482992183,9,9
Manba,6.380056901657003,5.125291069577395,-1.2547658320796078,2.411998106628361e-05,0.0028644556824924394,9,9
Acnat1,2.0163422318457744,0.6793929267350626,-1.336949305110712,2.52117853127552e-05,0.0029685261065685096,9,9
Rilpl2,6.794096122806112,5.966604757221887,-0.8274913655842244,2.6483253806524056e-05,0.0030692724753055654,9,9
Msmo1,8.528611424882863,7.071541051752617,-1.4570703731302457,2.6513024430993197e-05,0.0030692724753055654,9,9
