gene,GSM8332065,GSM8332066,GSM8332067,GSM8332068,GSM8332069,GSM8332070,GSM8332071,GSM8332072,GSM8332073,GSM8332074,GSM8332075,GSM8332076
A1BG-AS1,0.0,0.0,0.0,0.0,0.0548930935046759,0.05722196733014775,1.3515494780227773,1.234881559825072,1.6146499220692205,1.5723609604196946,1.7584187188300036,1.657485820208808
A2ML1,26.84361730207921,27.998516312606323,26.907647879198915,13.780700960113437,12.46073222556143,11.501615433359698,0.0,0.0,0.0,0.04913628001311546,0.0,0.0
A4GALT,1.7740129695287128,1.8327719591817506,1.0917184103732258,2.234708263802179,2.3604030207010642,1.831102954564728,5.5237239536583065,5.798574280917729,5.980184896552669,5.454127081455816,4.71996603475422,4.826208711784471
AAAS,44.16358603089901,42.07576476504488,42.64123673457776,51.108605662883164,55.71648990724604,49.84033354455869,79.15378899550787,77.74384776637845,77.74240365518469,77.09482334057815,73.25202189231304,75.90310064897395
AACS,30.531696896625743,30.065259160194252,33.393739611416315,35.631181761734744,32.22224588724475,30.384864652308455,57.999101513412214,52.61669254906829,67.39668378414856,51.24914005367942,50.716497785202215,50.60206709931597
AADAC,2.4275966951445547,2.378704032129506,2.5045304708562237,2.193324777435472,2.5250823012150914,2.517766562526501,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,3.501341387227723,3.7045390664311983,3.0182803110318597,4.386649554870944,4.391447480374072,4.005537713110342,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,0.6068991737861387,0.7409078132862397,0.7706247602634535,1.2001211046345035,1.5370066181309254,1.3161052485933982,4.642278641904322,3.7583351820763062,4.365534974483448,3.78349356100989,3.701934144905271,3.753717886943477
AAGAB,46.31107541506535,44.45446879717438,47.20076656613652,46.639189135278805,43.0361853076659,44.91924435416598,108.47653636652377,106.73671917096709,110.21480764346568,109.42649558920812,110.68783093266761,110.17405746093843
AAK1,76.42261134522376,75.06566003031638,72.24607127469876,53.59161484488559,47.92167062958206,52.58698797640578,88.32082023774932,78.87134832100134,85.75585141656526,58.57044577563362,61.96112275035197,59.52324077867514
AAMDC,2.1474893841663367,1.7157865149786604,1.9907806306805884,1.9450238592352298,0.8782894960748144,2.3461006605360577,4.1134114548519305,6.4965508147319015,5.142959011035296,4.569674041219737,3.1929181999807965,5.021207043573742
AAMP,230.6216860387327,231.98213585472843,238.37992584149495,161.89219866655785,166.5456456931867,160.04984262242326,154.95808580635057,168.26603515181634,152.6143185600241,171.92784376589097,175.2403075844533,176.13224318865952
AANAT,0.9803755884237625,1.4818156265724793,0.8348434902854079,1.6139559683015736,1.2076480571028698,1.4305491832536936,0.0,0.0,0.0,0.14740884003934637,0.04627417681131589,0.14624874884195366
AAR2,50.13920866510099,52.52646444718762,56.06295130916624,60.295739636292126,64.11513321346145,59.96862176199484,57.528997347143424,56.96562325975658,55.61571953793982,54.049908014427,51.086691199692744,56.11076997236288
AARS1,460.7765265591683,462.7164269712905,463.6592307585112,500.3677336598546,508.58451132082223,499.49055282485966,294.108919021913,290.57300007709955,324.3652287890167,312.1627869233225,325.26118880673937,315.9947966645145
AARS2,13.585204582443565,15.481073782875638,13.614370764654346,23.588587229023002,20.804482438272167,22.83156496472895,19.215507796236874,17.28834183755101,18.897384273106432,22.94664276612492,25.682168130280317,24.17979314186967
AASDH,6.162360841520792,5.888267358222221,5.4585920518661295,8.938833055208717,10.100329204860365,9.899400348115561,4.407226558769926,4.1878592028850266,4.843949766207662,5.9946261616000855,4.673691857942905,5.216205375363014
AASDHPPT,33.75293097287525,32.67793408072994,31.274521520691817,30.954847802296847,29.093339557478227,31.872635802892297,78.97749993315706,81.87801646666239,65.36342091932067,79.60077362124704,73.390844422747,75.85435106602662
AASS,1.8673820731881188,1.8327719591817506,1.7339057105927704,5.83507157770569,4.940378415420832,4.921089190392706,0.0,0.0,0.05980184896552669,0.19654512005246183,0.27764506086789537,0.048749582947317883
AATF,65.12494980243564,68.98241693175568,65.63154208243746,84.00847732441525,79.86945104930344,82.9146306613841,62.288802030614946,68.34800981118768,63.38995990345828,79.4533647812077,86.39388810672676,90.96672177969518
AATK,2.52096579880396,3.3925778818896237,2.1834368207464516,3.2279119366031472,2.7446546752337952,2.8610983665073872,2.9381510391799504,2.8992871404588647,2.9900924482763345,2.800767960747581,3.2391923767921122,2.5837278962078476
ABALON,0.9336910365940594,1.0528689978278143,1.3485933304610436,1.1173541319010896,1.2625411506075457,1.9455468892250236,3.9371223925011334,4.134168700283937,4.5449405213800285,4.127447521101699,2.406257194188426,3.412470806312252
ABAT,5.695515323223762,5.498315877545252,5.715466971953947,6.000605523172517,7.685033090654627,6.86663607961773,0.176289062350797,0.2684525130054505,0.11960369793105338,0.09827256002623092,0.5090159449244748,0.3412470806312252
ABCA1,47.24476645165941,49.25087200950109,39.751393883589806,58.68178366799055,54.34416256962915,57.22196733014775,8.050533847353064,6.4965508147319015,8.252655157242684,4.1765838011148135,4.303498443452377,3.6562187210488415
ABCA10,0.4668455182970297,0.23397088840618097,0.8348434902854079,1.2828880773679174,1.4821135246262496,1.602215085244137,0.11752604156719802,0.4832145234098108,0.17940554689658006,0.39309024010492366,0.3239192376792112,0.19499833178927153
ABCA11P,0.5602146219564357,0.6239223690831492,0.6421873002195445,0.4966018364004842,0.16467928051402772,0.8583295099522162,0.411341145485193,0.4295240208087207,0.17940554689658006,0.6879079201836164,0.7403868289810542,0.4874958294731789
ABCA13,0.0,0.0,0.0,0.0,0.0548930935046759,0.05722196733014775,5.1123828081731135,4.885835736699199,6.817410782070042,1.523224680406579,1.6658703652073719,1.8524841519980797
ABCA17P,0.5602146219564357,0.23397088840618097,0.4495311101536812,0.4552183500337772,0.9880756830841662,0.8011075426220685,0.411341145485193,0.8590480416174414,0.777424036551847,1.179270720314771,0.7403868289810542,1.4137379054722186
ABCA2,136.7390523092,142.5662613354996,134.3455832059287,171.5759344763673,165.66735619711187,150.09322030697754,39.90009111206372,36.509541768741265,44.85138672414501,32.77389876874801,31.4664402316948,31.58972974986199
ABCA3,37.627748774740596,40.12600736166003,41.0357684840289,52.722561631184746,51.59950789439535,50.8131069891712,118.0549087542504,102.9246934862897,131.0856529324345,94.43993018520791,94.72323993276362,92.08796218748348
ABCA4,0.8403219329346535,0.896888405557027,1.1559371403951804,0.28968440456694916,0.2744654675233795,0.17166590199044326,2.526809893694757,1.9865485962403333,2.3920739586210678,0.5896353601573855,0.6478384753584224,0.7799933271570861
ABCA5,6.535837256158416,5.303340137206768,6.293435542151537,7.366260573273849,6.916529781589164,5.893862635005219,4.759804683471519,3.3825016638686756,4.126327578621342,3.1447219208393893,3.655659968093955,3.997465801680067
ABCA7,95.32985483625347,95.38213217358644,94.2088769422072,94.47849937519211,92.33018327486486,87.89294181910695,35.434101532510205,34.89882669070856,34.804676097936536,38.81766121036121,33.54877818820402,33.78346098249129
ABCB10,11.997929820233663,12.127491049053713,11.752027594017665,17.049996383083293,15.095600713785874,16.880480362393584,43.48463537986326,36.40216076353908,39.70842771310972,46.679466012459685,41.878130014240874,37.780926784171356
