gene,6419C5,6499C4,6694C2
0610009L18Rik,-0.2127695141840688,-0.3075209416793633,0.3436236529698248
0610038B21Rik,-0.18428904527298595,0.2039582572177291,-0.23021647985232674
0610040J01Rik,-0.873229086027818,-0.36079359190426574,-1.582723042631512
0710001A04Rik,0.9182462556705252,-0.4725495972382141,-0.4771056448212363
1110002E22Rik,0.10693821512587443,0.6582612899592055,-0.5691443730722703
1110002L01Rik,-0.004646692501138583,0.2625607896427107,-0.9389720555040946
1110004F10Rik,0.13747202510765177,-0.15624988108357574,0.15357871707198356
1110006O24Rik,-0.2252163838884086,-0.19417719148841672,0.6074857920577226
1110019D14Rik,-0.31885445235261023,-0.692214884766877,0.10002985743861714
1110038B12Rik,-0.394845218617613,-0.5272586301693103,0.23090686747403488
1110038F14Rik,0.05980076271561785,-0.3770652024106189,0.7006953920346186
1110046J04Rik,0.5699255683426018,0.005266478590567614,0.9086337324740912
1110059E24Rik,0.30465489846433513,-0.4723679426433325,-0.14942739803699645
1110059G10Rik,-0.11232618247924231,-0.4790509387684594,-0.12318623163319753
1110065P20Rik,0.5714656649229441,-0.30372226934329705,0.8286594397376299
1300002E11Rik,-0.8815286610975173,-0.28582994411118356,-0.08644167648381385
1500002C15Rik,0.28575604966619816,-0.28552858792761776,1.3930270323140181
1500004A13Rik,0.3012875270183871,-0.19535278266394807,0.5008505465823466
1500011B03Rik,0.13184074440658078,-1.4422524762261348,0.8756686295836342
1500015A07Rik,0.22373225190802382,0.012934967223290239,0.7133018140343744
1600012H06Rik,-0.09489772624378823,-0.24846884781098844,-0.3608161152167204
1600014C10Rik,-0.5643664282049565,0.036960127222633865,0.07251404880319301
1600020E01Rik,0.5267439380104715,-0.11188566928364585,0.4293416703315889
1700001G11Rik,-0.020451607868544608,-0.07041143009193424,0.09008803405431376
1700001K19Rik,-0.19073098056836202,-0.4849239620258593,0.4780104008170093
1700001L05Rik,-1.5354812178030133,0.006660757707501297,-0.4469117399831999
1700003E16Rik,0.6374965986529036,-0.35516357861066794,0.2864442583194067
1700003F12Rik,0.6296771624004049,-0.6297231272588412,-0.761537239720751
1700007L15Rik,-0.4265251331107436,-0.35412964849929196,0.7144865969901995
1700008J07Rik,0.24789540357950934,-0.5858320175014788,0.3194699501788797
1700012B09Rik,1.0327855611019836,-0.3892660523376885,3.166844332687451
1700016C15Rik,-1.7442041051413693,-0.5972155963845154,-1.6939423799431115
1700017B05Rik,0.7887445240549047,0.33775864523147714,0.9151667330285482
1700018A04Rik,-0.42937775166307435,-0.3532980666698411,0.6371868620542245
1700020L24Rik,-1.7815060837619723,-0.12966546143198832,0.010622416041231375
1700025G04Rik,-0.7350224231175817,-0.6301529163442412,1.968505636298436
1700028J19Rik,0.24692611693695837,0.036355646133817254,-0.38422395403082665
1700030C10Rik,-0.6358216875152518,-0.24438843541401334,-0.2595397100437684
1700030J22Rik,0.5292824052505338,0.07394064615042134,0.5284056125671779
1700030K09Rik,-0.3897704806415643,0.22076145558989868,0.30822744041338845
1700037C18Rik,-0.1906338321893135,0.18196637099532875,1.123200374579208
1700052K11Rik,0.5590203346544176,0.16623837475436898,0.8639884610773579
1700056E22Rik,0.13778329143766954,-0.30343665607986603,0.4961260625351347
1700066M21Rik,0.25706061901661226,-0.19647128013308413,0.5146103783669087
1700086O06Rik,0.7023484666058102,0.4655227701989144,0.9385246004475183
