group,PDAC_KRASi_resistance_UP,PDAC_KRASi_resistance_DOWN,KPC_KRASi_resistance_UP,H358_RMCR_MUC1_supported
parental,0.48813735822543414,,0.2712905001657393,0.5496810148357548
resistant,0.48504287291550163,,0.4626543368024716,0.5359569372310974
