sample,PDAC_KRASi_resistance_UP,PDAC_KRASi_resistance_DOWN,KPC_KRASi_resistance_UP,H358_RMCR_MUC1_supported
GSM8332065,0.2839478594517884,0.9214895797745132,0.41998460427361145,0.4892529324678282
GSM8332066,0.28708312527923047,0.9264776221387085,0.4196135499690789,0.4858546862544129
GSM8332067,0.28411342671677486,0.9237444482405193,0.4193830465374752,0.4844209087803211
GSM8332068,0.47201650416546215,0.44584899214212503,0.4517283432728027,0.5190769843981323
GSM8332069,0.4603821187353815,0.46737273659036555,0.45314293375080544,0.5174706753217174
GSM8332070,0.4642033060891961,0.447249743764947,0.45113413742848124,0.5195547204190868
GSM8332071,0.26670521142676934,0.8778612914246668,0.49520180943031494,0.4981289147021979
GSM8332072,0.26020866731491943,0.8702767338571916,0.4930299740953929,0.4971962191094408
GSM8332073,0.2726340963443799,0.8907755380936112,0.4967024602889726,0.49291310784648673
GSM8332074,0.5038763764421434,0.5003416467372737,0.49007883822810755,0.4846167862430248
GSM8332075,0.5079682531339519,0.49484113426716775,0.48770071745814825,0.48555403712561224
GSM8332076,0.5079367165120496,0.4804236419542193,0.4855985088633542,0.48320578521808444
