group,PDAC_KRASi_resistance_UP,PDAC_KRASi_resistance_DOWN,KPC_KRASi_resistance_UP,H358_RMCR_MUC1_supported
parental,0.27578206442231035,0.9017708689215351,0.4573192407658076,0.4912944615267813
resistant,0.48606387917969746,0.472679649242683,0.46989724650028314,0.5015798314542763
