gene,PANC-1,Panc02.03
A1BG-AS1,0.1521895679531995,0.052458368630200834
A2ML1,0.023067364112480088,-1.0598000551531412
A4GALT,-0.17513575755361632,0.30158547925886436
AAAS,-0.05212656164675877,0.2745116524479059
AACS,-0.21128028561819168,0.06034664940886003
AADAC,0.0,-0.011837510956525632
AADACP1,0.0,0.2575331162731045
AADAT,-0.14336052031047242,0.46134443849095563
AAGAB,0.021299309251556764,-0.035239641975890024
AAK1,-0.4823627903531591,-0.5305719564503848
AAMDC,-0.24794884204147039,-0.15530469146076542
AAMP,0.13759246193131336,-0.5184376310264627
AANAT,0.15352021917890593,0.2124001141468299
AAR2,-0.07671133946835873,0.2132033489601275
AARS1,0.07007819653818181,0.12064089200864458
AARS2,0.37633341265391884,0.6209279024884768
AASDH,0.1965323374807646,0.6386626159449724
AASDHPPT,0.022357928051278897,-0.08565594431308465
AASS,0.1990791960443943,1.1454872532274505
AATF,0.39805219074492726,0.3012438034409186
AATK,-0.028536508262704263,0.10405503558055296
ABALON,-0.28898605689526446,0.1993154472095453
ABAT,0.1373729717398773,0.23700307001577592
ABCA1,-0.7653312572944588,0.3203049705220664
ABCA10,0.057672274807026636,0.7168290455121945
ABCA11P,0.2922894432260889,-0.12040544336062398
ABCA13,-1.291192951145755,0.052458368630200834
ABCA17P,0.32436791673207976,0.3002844967959506
ABCA2,-0.32568391157846754,0.23311319073387793
ABCA3,-0.31412227397507664,0.37752947749150145
ABCA4,-0.9792893663488866,-0.655478828141454
ABCA5,-0.14141416730666467,0.13276025773782463
ABCA7,0.010356846961802724,-0.0527521024468367
ABCB10,0.07573370048810535,0.41848357767952793
ABCB7,0.13151649408302202,0.391462974202903
ABCB8,0.10394596527159194,-0.16407734038643795
ABCB9,0.17936314189297065,0.4269257477812829
ABCC1,-0.16819732987117675,0.7018740571614313
ABCC10,-0.005240326482848445,0.601231150843291
ABCC2,0.9357230137889101,0.5495545839761681
ABCC3,0.8468363790547686,0.24141313134757247
ABCC4,-0.5887580925381837,1.3615257830394007
ABCC5,-0.1369401861963624,0.5078890030893026
ABCC6,-0.6491619999153007,0.3094264231329653
ABCC6P2,-0.42980188369706795,-0.06748568393543897
ABCD1,-0.06884135446796424,0.6973666603510047
ABCD3,-0.06456067843216484,0.12554264698380724
ABCD4,-0.3697177795652453,-0.010799092481586392
ABCE1,0.1932057822591018,0.0390206512124287
ABCF1,0.1706785663826933,0.6408367019048242
ABCF2,-0.019119968868684722,-0.30921120066931085
ABCF3,0.041348957500792594,0.1070058639557887
ABCG1,-0.27302713897202946,-0.5586678502038502
ABCG2,2.471959992234928,0.0016338144611780514
ABHD10,0.1194130290076103,0.1633691499030192
ABHD11,0.4802406027998538,-0.2973650073685805
ABHD12,0.3072628600028411,-0.3757489290171776
ABHD13,0.36860477332191843,0.39486718295815315
ABHD14A,-0.4250829717154754,-0.24260361969920763
ABHD14B,-0.023330248046455893,-0.3129103506908564
ABHD15,-0.0785844164487477,-0.5529828926749634
ABHD17A,0.010773629649015959,-0.006084894247302408
ABHD17B,-0.23445320965080274,-0.048898126693135424
ABHD17C,-0.2793283645886362,-0.5876629581815891
ABHD18,-0.013232046269529896,0.12977715669689482
ABHD2,-0.5929712642584413,-1.0759691319037463
ABHD3,0.04655463021700523,-0.350101218874439
ABHD4,0.04506789749302165,-0.4346567248603259
ABHD5,0.10198776216987504,-0.10677363073460056
ABHD6,0.023247603707876152,0.5840777538274171
ABHD8,-0.6151344150414837,0.18654151048029632
ABI1,0.04414399549469472,0.04948349449118794
ABI2,0.02820747980410676,-0.013712681047449493
ABI3BP,-0.24582170011909366,0.08772857257419053
ABITRAM,0.3248060819213183,-0.10811045017986887
ABL1,-0.3623437493325232,0.3906344833294151
ABL2,0.024827512615378744,0.7328595776100304
ABLIM1,-0.8190127791178448,0.3270199748571727
ABLIM2,-0.2711731768355312,0.4103244565790174
ABLIM3,-0.6875252308206132,-0.4624867705577582
ABO,0.017415320262093595,-0.6333791008795666
ABR,-4.969659475406729e-05,0.16605779399070641
ABRACL,0.4451508565587732,0.4129250064638734
ABRAXAS1,0.3104388876590227,0.22152112158896475
ABRAXAS2,-0.14181593652496538,-0.09549589264007352
ABT1,-0.04900373624640331,0.19407965937763372
ABTB1,0.2357670887667247,-0.24380957649456736
ABTB2,-0.608646606430514,-0.01993178115143568
ABTB3,0.1103730223577946,-0.2302224065357299
ACAA1,-0.2584430123001482,-0.302512676094584
ACAA2,0.10160042115610946,-0.707152661411218
ACACA,-0.25968941248463384,0.3004777559520386
ACACB,0.0708109810058617,0.06255090544628406
ACAD10,-0.030348385888287588,-0.32844066408257433
ACAD8,-0.07282701088261856,-0.3415345231392246
ACAD9,0.027646405523174877,0.2694899402353359
ACADM,0.3320566118345418,0.4500319573940752
ACADS,0.23470651071967286,-0.22302329448618607
ACADSB,-0.14122706840163257,-0.18942942967221876
ACADVL,0.5238287592360926,-0.17790132155302718
ACAP1,0.041709062580504996,0.1496296486596238
ACAP2,0.1759687760059112,0.3670288450413519
ACAP3,0.0533730082807935,0.2511242280390267
ACAT1,0.03194260992608644,0.29107051250367366
ACAT2,0.06011707449866943,0.43583935806914953
ACBD3,0.13824924225799418,0.4512083040426935
ACBD4,-0.12408823279201409,-0.3483797113052898
ACBD5,0.012659040549014122,0.16902421092436182
ACBD6,-0.05776943058237016,0.052852170871052095
ACBD7,-0.08818256101979605,0.3535354111773459
ACCS,0.0278515214276438,-0.6896570638474779
ACD,0.0851196356159738,-0.07340182946898466
ACE,0.35632040251369834,0.21227070022403094
ACER2,-0.10427264669892033,-0.9021449476758088
ACER3,0.052832139322292804,0.3063804956935523
ACHE,-1.3277359651574383,-0.3141359022354233
ACIN1,-0.10926114306320756,-0.12696249664444537
ACLY,-0.09325433502425362,0.39383888560413816
