gene,human_ortholog_guess
Clu,CLU
Ggt6,GGT6
Ucp2,UCP2
Wnk4,WNK4
Slit1,SLIT1
Fam13a,FAM13A
Klc4,KLC4
Ifngr2,IFNGR2
Gal3st1,GAL3ST1
Eps8l3,EPS8L3
Kcnu1,KCNU1
Fam43a,FAM43A
Atp8a1,ATP8A1
Fdft1,FDFT1
Slc4a4,SLC4A4
Mapre2,MAPRE2
Adap1,ADAP1
Psca,PSCA
Rap1gapos,RAP1GAPOS
Stard10,STARD10
Atp8b1,ATP8B1
H1f2,H1F2
Iqgap2,IQGAP2
Ttr,TTR
Mgat4a,MGAT4A
Sh3yl1,SH3YL1
Sult1d1,SULT1D1
Wfdc2,WFDC2
Sash1,SASH1
Myo1d,MYO1D
Hspa1b,HSPA1B
Camk2b,CAMK2B
Irf6,IRF6
Unc13b,UNC13B
Myh14,MYH14
Tmem151a,TMEM151A
Tinag,TINAG
AW112010,AW112010
Gnai1,GNAI1
Tspan7,TSPAN7
Liph,LIPH
Krt8-ps,KRT8-PS
Hsd11b2,HSD11B2
Golm1,GOLM1
Zfp618,ZFP618
Tm4sf4,TM4SF4
Trp53inp2,TRP53INP2
Abcc5,ABCC5
Cbr1,CBR1
Gsta3,GSTA3
Aldh3a1,ALDH3A1
Slc16a10,SLC16A10
Ddc,DDC
Tjp3,TJP3
Celf4,CELF4
Mxd4,MXD4
Pllp,PLLP
Creg1,CREG1
2200002J24Rik,2200002J24RIK
Slc10a2,SLC10A2
Frk,FRK
Spint2,SPINT2
Cybb,CYBB
Plch1,PLCH1
Slc43a3,SLC43A3
Cdc42ep5,CDC42EP5
Slamf9,SLAMF9
En1,EN1
Tmem220,TMEM220
Fcgr3,FCGR3
Lgals2,LGALS2
Slc26a2,SLC26A2
Stat2,STAT2
Tgoln1,TGOLN1
Ang,ANG
Trac,TRAC
Fgd4,FGD4
Entrep1,ENTREP1
Tm6sf2,TM6SF2
Dhrs3,DHRS3
Syt16,SYT16
Slc12a7,SLC12A7
Aldh3a2,ALDH3A2
Ppp2r2b,PPP2R2B
Nr3c2,NR3C2
Ermp1,ERMP1
Hnf4a,HNF4A
Cyp4b1,CYP4B1
Acss2,ACSS2
Elf3,ELF3
Spink4,SPINK4
