gene,GSM8332077,GSM8332078,GSM8332079,GSM8332080,GSM8332081,GSM8332082,GSM8332083,GSM8332084,GSM8332085,GSM8332086,GSM8332087,GSM8332088,GSM8332089,GSM8332090,GSM8332091,GSM8332092,GSM8332093,GSM8332094
0610009L18Rik,0.7544759430412449,0.8565050580294413,0.7087552812490886,1.3429036319883865,1.2026251777015362,1.2036949667390295,0.8513782963239188,1.129221949138714,0.9969661323626073,0.5832720265827392,1.0472758169043994,0.28125573937493165,0.8459364708477884,0.16425224085225887,0.786241486839261,0.10648061238277949,0.3521897692393934,0.6484376785736576
0610038B21Rik,1.9732447741078714,1.651831183342494,1.4175105624981772,0.9112560359921195,1.8039377665523042,1.2036949667390295,0.4767718459413945,0.564610974569357,0.5981796794175644,0.6415992292410132,0.9856713570864934,0.7312649223748222,2.2558305889274357,1.0950149390150592,1.8869795684142263,1.3842479609761333,1.1152676025914123,1.6616215513449977
0610040J01Rik,6.093844155333132,8.320334849428859,8.723141923065704,1.7265903839850685,1.2026251777015362,2.9830701349619435,11.510634566299382,12.216128358864271,11.066324069224942,9.565661235956924,8.070184236145664,8.831430216372853,15.226856475260194,9.25287623467725,18.450466891161323,4.631906638650908,5.811131192449991,12.72558944200803
0710001A04Rik,2.611647495142771,2.4471573086555467,2.344344391823908,0.815334347992949,1.749272985747689,2.0933825508504866,1.1919296148534864,0.9239088674771297,1.0468144389807377,0.2333088106330957,0.73925351781487,0.506260330874877,1.2407068239100898,0.5475074695075296,1.2055702798202002,1.9166510228900306,2.1718369103095925,4.579591104926457
1110002E22Rik,3.714343104203052,2.2024415777899917,3.434737132207121,1.630668695985898,1.8039377665523042,1.7793751682229135,0.2043307911177405,0.3079696224923766,0.2990898397087822,1.2831984584820264,0.8008579776327759,0.9562695138747674,0.6203534119550449,0.8760119512120474,0.6289931894714088,1.1712867362105743,1.291362487211109,0.2431641294651216
1110002L01Rik,4.817038713263333,3.1813045012522103,5.288404790858584,1.5827078519863127,1.9679321089661501,1.8317097319941755,0.7151577689120918,1.2318784899695063,1.196359358835129,2.041452093039587,0.73925351781487,1.743785584124576,1.5790814122492054,1.533020914621083,1.1007380815749654,1.011565817636405,1.2326641923378767,2.02636774554268
1110004F10Rik,94.88985899018735,105.04422747403933,91.64750982920906,121.10113109895272,112.28145977267978,92.73684700267654,106.52445243604872,130.78443301842927,130.10408027332028,120.67898229996875,86.36945266470399,125.27130631759454,107.03916144460685,138.08138380979895,96.76011898035172,135.12389711374718,131.89506858015284,107.07327167447521
1110006O24Rik,0.17410983300951807,0.5506103944474979,0.21807854807664262,1.0551385679908751,1.2026251777015362,0.7326838927976702,2.4860246252658427,1.950474275785052,1.1465110522169983,1.2248712558237524,1.2320891963581169,1.9687901756245214,1.8046644711419488,0.8212612042612945,1.3628185771880523,0.7453642866794564,0.7043795384787868,1.5400394866124367
1110019D14Rik,3.4821966601903616,4.4048831555799834,3.598296043264603,3.6929849879680634,4.810500710806145,4.029761410387186,1.8049219882067078,2.7717266024313894,2.2930221044339967,0.9332352425323828,0.8624624374506817,1.2937764011246855,4.793640001470801,2.628035853636142,4.455368425422479,1.9698913290814204,2.7001215641686827,4.376954330372189
1110038B12Rik,103.42124080765372,128.84283230071452,101.67912304073462,114.0029261870141,144.75233957062127,133.24379936163345,101.3480723943993,85.25625715997292,85.93848060965675,58.50218426624875,65.91677200515925,63.39504365510958,79.63081978913849,68.60268592929346,93.19582424001375,66.65686335161995,64.56812436055544,51.42921338187322
1110038F14Rik,19.094045020043815,23.676246961242413,18.26407840141882,31.941922103723766,31.760237647481482,37.00053658628235,27.89115298757158,28.28187699888325,25.372788068628356,19.422958485205218,20.021449440819396,22.725463741494476,23.68622118373808,22.72155998456248,23.849325100790917,22.041486763235355,25.709853154475717,25.77539772330289
