,H358_RMC-Resistant_Control_3,H358_RMC-Resistant_Control_2,H358_RMC-Resistant_MUC1_Silencing_1,H358_RMC-Resistant_MUC1_Silencing_2,H358_RMC-Resistant_Control_1,H358_RMC-Resistant_MUC1_Silencing_3
TLR8-AS1,0.154580936,0.130295629,0.034696947,0.075180405,0.074800512,0.091929159
TLR9,0.011586677,0.020968646,0.032312622,0.023067971,0.018062753,0.01480397
TLX1,0.0,0.0,0.0,0.0,0.00879419,0.0
TLX1NB,0.0,0.0,0.0,0.0,0.0,0.0
TLX2,0.0,0.013453236,0.006909769,0.0,0.0,0.0
TLX3,0.011513735,0.005212221,0.0,0.012490181,0.0,0.016547147
TM2D1,5.412124653,5.268342739,4.706747084,5.162536929,5.256375753,4.689805813
TM2D2,9.779595913,9.092049756,9.51501317,9.853512569,9.502063222,9.321859877
TM2D3,3.439138039,3.293722101,4.591518898,4.150800684,3.662113101,3.955116213
TM4SF1,26.02644954,25.77549802,30.67975395,31.88594703,25.88725247,30.01720951
TM4SF1-AS1,0.368196741,0.451371306,0.44332356,0.152507881,0.34202524,0.311208754
TM4SF18,49.69201654,47.23401398,19.62607059,18.57572964,43.8369993,17.17864609
TM4SF19,0.288618104,0.106211421,0.402722244,0.48877293,0.09494396,0.52706438
TM4SF19-AS1,0.164102333,0.148534721,0.116249407,0.097536345,0.16447513,0.067388374
TM4SF19-TCTEX1D2,0.0,0.0,0.0,0.0,0.0,0.0
TM4SF20,0.003256868,0.0,0.0,0.0,0.0,0.003120744
TM4SF4,0.005257349,0.019038383,0.0,0.017111975,0.0,0.0
TM4SF5,0.0,0.0,0.0,0.018009053,0.0,0.015946543
TM6SF1,0.0,0.0,0.0,0.0,0.0,0.0
TM6SF2,0.081273523,0.021024267,0.043188322,0.050379954,0.02715548,0.033372373
TM7SF2,2.366097759,2.060804644,0.604077975,0.710535142,1.908435117,0.693264427
TM7SF3,11.90922036,11.73831559,6.711052841,6.403853612,10.90043172,5.944580264
TM9SF1,17.8327612,17.07699823,14.6695055,15.46140336,16.69838732,14.52838667
TM9SF2,37.14939827,35.90917408,35.29578972,35.29280635,36.89545692,32.75910584
TM9SF3,25.57190915,24.64341832,31.49709609,31.05912142,24.82418063,28.80248912
TM9SF4,12.9960002,12.25813099,13.51673963,14.11930774,12.65465369,13.24744245
TMA16,10.58515894,10.01632401,13.6168626,15.28912674,11.15975485,14.72880885
TMA7,265.0396815,249.4753953,263.7347094,319.893888,231.8282971,272.4079813
TMBIM1,3.843478003,4.058026153,5.667063295,5.645464551,3.652776513,5.419516438
TMBIM4,7.146293776,6.878027291,6.434151493,7.251801296,7.010068938,6.808691029
TMBIM6,121.1104507,119.5889833,133.6038735,131.6597673,112.0639267,124.5955777
TMBIM7P,0.0,0.013165584,0.00450773,0.021040878,0.017006633,0.009289748
TMC1,0.087889841,0.042991048,0.011041236,0.010316989,0.047215273,0.020485778
TMC2,0.0,0.00434696,0.0,0.0,0.016849664,0.0
TMC3,0.0,0.0,0.0,0.008521086,0.0,0.0
TMC3-AS1,0.775473133,1.141459678,0.729551826,0.878739492,1.123458413,0.700690022
TMC4,0.029718821,0.014084844,0.052618998,0.078388638,0.024818632,0.054245233
TMC5,0.074055485,0.103745467,0.26646353,0.286717917,0.087978235,0.23006717
TMC6,6.526353848,6.383119899,8.436992659,9.0979419,6.568494957,8.666961439
TMC7,0.781901621,0.823452018,1.508626169,1.510246022,0.869695443,1.264993035
TMC8,0.960962695,0.931609886,1.316576821,1.309082048,0.943456734,1.232085269
