gene,mean_DOXminus,mean_DOXplus_MUC1kd,log2FC,p_value,padj,n_DOXminus,n_DOXplus_MUC1kd
ENPP2,2.1569302341701513,1.3925098164749619,-0.7644204176951894,2.3794101080892804e-05,0.00377276902107473,3,3
CSRNP2,2.1008699636887385,2.4100398856454803,0.30916992195674187,2.3587417597545407e-05,0.00377276902107473,3,3
CASTOR2,1.368451176940057,0.7111273474758645,-0.6573238294641924,2.364715934254861e-05,0.00377276902107473,3,3
LAMB3,2.2255535499794648,3.9595317835663764,1.7339782335869116,2.4220125845109776e-05,0.0037769875822646006,3,3
DNMT3A,1.9196350305215735,1.1699071304473805,-0.749727900074193,2.441252550429564e-05,0.0037769875822646006,3,3
OLFML2A,2.6828095385606763,1.5060020677730057,-1.1768074707876706,2.429631333214067e-05,0.0037769875822646006,3,3
CASP8,2.1938806057621973,2.7179005949461366,0.5240199891839392,2.4239346170067288e-05,0.0037769875822646006,3,3
SLC43A1,1.082214592035131,0.5465976805488671,-0.5356169114862638,2.480231108729436e-05,0.0037880464347883687,3,3
ICAM1,2.7603110726382947,3.4334924757081065,0.6731814030698118,2.4736896216013482e-05,0.0037880464347883687,3,3
TEAD4,4.208547425600008,4.928379436064542,0.7198320104645344,2.4929168013336176e-05,0.0037880464347883687,3,3
SNAI2,2.8445421028459017,4.509026317589911,1.6644842147440095,2.6273073030402527e-05,0.0037891253076139664,3,3
WWC1,1.8634705076520692,2.739547969118803,0.8760774614667337,2.5246555467631376e-05,0.0037891253076139664,3,3
ANGEL1,2.6011670223137586,2.9754757640130425,0.37430874169928385,2.6260016114402906e-05,0.0037891253076139664,3,3
ISG20L2,4.7521338644506,5.3270676032800095,0.5749337388294098,2.5797252173436216e-05,0.0037891253076139664,3,3
AMOT,0.49931159154753363,0.16296406569970304,-0.33634752584783056,2.7092490100679134e-05,0.0037891253076139664,3,3
ADPGK,3.3876047081258562,2.573203839571374,-0.8144008685544821,2.5854415507925376e-05,0.0037891253076139664,3,3
TNFSF10,1.2497158321753037,0.23024797941716382,-1.0194678527581398,2.6819713775256984e-05,0.0037891253076139664,3,3
F2RL2,5.3460155789824215,3.700576811903693,-1.6454387670787285,2.6290154868613756e-05,0.0037891253076139664,3,3
PHLDA2,2.931424469483361,3.9711126824015235,1.0396882129181626,2.698310194105683e-05,0.0037891253076139664,3,3
RBBP9,2.682359992532382,3.1558915430347434,0.4735315505023614,2.7022681642250917e-05,0.0037891253076139664,3,3
RCHY1,1.9223785644547284,2.3893439624770934,0.4669653980223649,2.634523951278642e-05,0.0037891253076139664,3,3
IGFL2-AS1,1.2747718588764068,2.1985597120430556,0.9237878531666488,2.6800517367214483e-05,0.0037891253076139664,3,3
AGPAT2,2.849113674789042,3.4731992139834165,0.6240855391943745,2.5211637071921827e-05,0.0037891253076139664,3,3
DUSP5,3.444913993335453,5.253049336731905,1.8081353433964522,2.7162720592814e-05,0.0037891253076139664,3,3
PLAU,4.020212484491387,5.2534177719102475,1.2332052874188602,2.648102174937564e-05,0.0037891253076139664,3,3
FRMD6,3.2204758628595944,4.508262379227905,1.2877865163683109,2.7922637672422113e-05,0.003873962470117346,3,3
INAFM2,2.7173945604880423,3.4518350342629116,0.7344404737748693,2.9733945312692156e-05,0.0038855385764815643,3,3
MYNN,1.9312175331163839,2.3366209586991684,0.4054034255827845,3.10894498583922e-05,0.0038855385764815643,3,3
TUBA4A,3.507353152840789,4.53356086434133,1.0262077115005406,3.213165129495568e-05,0.0038855385764815643,3,3
PCDHB16,1.3292547554449239,0.7428486858237152,-0.5864060696212087,3.054488813620329e-05,0.0038855385764815643,3,3
HMOX2,1.752954028903602,2.429710523875272,0.67675649497167,3.274027683184405e-05,0.0038855385764815643,3,3
RARRES2,5.289172278206846,3.6474934602841134,-1.6416788179227324,3.3028904383285e-05,0.0038855385764815643,3,3
DLG3,1.7910107834341022,1.434733509785075,-0.35627727364902717,3.0806132607809366e-05,0.0038855385764815643,3,3
CDV3,5.1294679961704,6.216427779626062,1.0869597834556615,3.0732623588605296e-05,0.0038855385764815643,3,3
CDCP1,2.887955868560157,4.597482070912574,1.709526202352417,3.105232643410062e-05,0.0038855385764815643,3,3
THBS1,5.463456072792909,6.60124602035332,1.1377899475604103,3.0279358141342618e-05,0.0038855385764815643,3,3
DDAH1,4.257754607305032,5.514007207462686,1.2562526001576533,3.297412861236977e-05,0.0038855385764815643,3,3
MICAL2,3.1792559450712985,4.3614598762135985,1.1822039311423,2.917015608787653e-05,0.0038855385764815643,3,3
CFH,1.289569085527517,0.4847371720203712,-0.8048319135071458,2.968520488899044e-05,0.0038855385764815643,3,3
RAB11FIP5,1.2772688635460476,2.058402669255381,0.7811338057093333,3.1215873930472143e-05,0.0038855385764815643,3,3
IPPK,2.0929935293256245,2.692687617185489,0.5996940878598647,2.9831819768925298e-05,0.0038855385764815643,3,3
ANGPTL4,0.6274449272228634,1.6649136544463348,1.0374687272234713,2.8968109283494188e-05,0.0038855385764815643,3,3
FHOD3,0.8732824781362618,1.779230633762811,0.9059481556265492,3.263452319880075e-05,0.0038855385764815643,3,3
ATL3,3.936272932103288,4.595429740596828,0.6591568084935395,3.051943666536714e-05,0.0038855385764815643,3,3
UHMK1,4.667557269792494,4.088302799516541,-0.579254470275953,3.2171784771934144e-05,0.0038855385764815643,3,3
GLRX2,3.7140734802289956,4.57619344491834,0.8621199646893447,3.2282580885469846e-05,0.0038855385764815643,3,3
SSBP2,1.807922978408629,0.7163902189755847,-1.0915327594330444,3.2578168293751085e-05,0.0038855385764815643,3,3
