sample,PDAC_KRASi_resistance_UP,PDAC_KRASi_resistance_DOWN,KPC_KRASi_resistance_UP,H358_RMCR_MUC1_supported
H358_RMC-Resistant_Control_3,0.6487353755353599,,0.612277094853469,0.8572623608738286
H358_RMC-Resistant_Control_2,0.6477495299279223,,0.6139236107601015,0.8568693705077789
H358_RMC-Resistant_MUC1_Silencing_1,0.6508017340436645,,0.6103635308309998,0.7255899488817676
H358_RMC-Resistant_MUC1_Silencing_2,0.644165230335318,,0.6100760539555132,0.7220071235295505
H358_RMC-Resistant_Control_1,0.6431630627807375,,0.6092190990790631,0.8516758322297591
H358_RMC-Resistant_MUC1_Silencing_3,0.6435972265747415,,0.610569503273656,0.7223866351263467
