group,PDAC_KRASi_resistance_UP,PDAC_KRASi_resistance_DOWN,KPC_KRASi_resistance_UP,H358_RMCR_MUC1_supported
DOX+,0.6461880636512413,,0.610336362686723,0.7233279025125551
DOX-,0.6465493227480066,,0.6118066015642113,0.8552691878704555
