sample,PDAC_KRASi_resistance_UP,PDAC_KRASi_resistance_DOWN,KPC_KRASi_resistance_UP,H358_RMCR_MUC1_supported
GSM8332077,0.45590560072267394,,0.26569189667737014,0.5787533144873228
GSM8332078,0.43930265195509105,,0.26439168146933567,0.5851645190980211
GSM8332079,0.4507678410117435,,0.267112739404705,0.5766112243332675
GSM8332080,0.39542198993418504,,0.4960349485322583,0.5812398647908313
GSM8332081,0.3776253387533875,,0.4952012308988637,0.5838476267175071
GSM8332082,0.39090124532197706,,0.4614917105053404,0.5796668529353757
GSM8332083,0.4644631565363273,,0.3045563753956867,0.538605559573116
GSM8332084,0.4769567040908504,,0.29625620573432626,0.5449441741722
GSM8332085,0.4760372306104013,,0.29657609995217604,0.5398039795761839
GSM8332086,0.5327380952380952,,0.4081352053016329,0.4831399425854098
GSM8332087,0.5072307717124791,,0.4105409948532257,0.4886389783709158
GSM8332088,0.5215713317847465,,0.40892800209514707,0.48584563254662194
GSM8332089,0.5461833785004517,,0.23723376545740246,0.5335653474459272
GSM8332090,0.5238619499290231,,0.29215095591081963,0.5086094493020402
GSM8332091,0.5597577106723448,,0.2176447814898318,0.5410715655337148
GSM8332092,0.5279068266873144,,0.5027601996082985,0.5082321182039313
GSM8332093,0.5423361078848884,,0.49972280578898226,0.5068994751605197
GSM8332094,0.5696541489224416,,0.481073933638496,0.6061019437687638
