gene,otx_log2FC,reversed
FOXL1,-2.4589421706484775,0
NT5E,-0.19189295979733245,0
NKX6-2,-2.1630172190903942,0
SGK223,-1.0523876772350533,0
FGFBP3,-0.7382598180237001,0
KCNK6,-0.7635714181424795,0
ALPPL2,-0.8233875602941048,0
CACNG2,-0.6669518842568092,0
GRHL3,-3.606137949400715,0
ITPR1,1.1763158375898417,1
GRIN2D,-3.1570082628727247,0
ST3GAL1,-1.9192189502531143,0
FOXF2,-1.9382313319517879,0
SLC4A11,-1.7648330006530477,0
FADS2,-1.113407486374557,0
TSPAN13,-0.2569859445162912,0
NNT,0.006544607631520094,1
LOC286297,-0.6667485094625203,0
PLEKHG4,-1.9872868613290002,0
STK32B,-1.5901914311830039,0
IGSF1,0.08164496725086301,1
SMOX,-0.4910432312284403,0
CD22,-0.4713886930492879,0
TLR4,-0.3383596206948678,0
IGFBP1,0.0,0
RNF144B,-1.4321602950065222,0
TMSB15B,-1.2028624097294882,0
INHBA,0.19498789425493518,1
ALPP,-1.7182328671465124,0
LUZP4,0.0,0
ITGA3,-0.6933238418361736,0
TRIB2,-3.2186078129800437,0
LRRC61,-0.8938855072151322,0
HS3ST1,-0.1951520466377406,0
ASB2,-2.441450355527263,0
ADAMTS10,-1.7883304902626231,0
SFMBT2,-0.4177931775730723,0
MICAL2,-1.688295979642966,0
CYP2S1,-1.3576145058623794,0
CYP2B7P,0.33326476440619146,1
KCNMA1,-1.0516471134707288,0
LINC01123,-1.0956228204646203,0
SLC14A1,0.0,0
DNAJC22,-2.528417337035087,0
ST8SIA4,-0.8126761546457049,0
IGFBP6,-2.7546671228268154,0
CNTNAP3B,-0.7740083843009309,0
SUSD1,-0.23975714298547235,0
ASB4,0.07732733782991935,1
LOC101927919,-3.1080087391800313,0
CSF1,-1.6951304910916374,0
NPAS2,-1.4636898240899034,0
SH3PXD2B,-0.4476472927563382,0
CXCL6,-2.3222312768510833,0
CLU,-0.7439557815980091,0
KRT80,-3.145837798134842,0
TPPP3,-0.8697696509543027,0
LTBP3,-1.529022380190968,0
PAPPA,-1.4410489594173985,0
DRD1,-1.0568115512991072,0
PLAG1,0.28097455696465623,1
PRSS23,-0.7547272094060116,0
SLC6A15,0.0,0
CALHM2,-2.5278170312274106,0
TGFBI,-0.5346670550747703,0
MEGF6,-0.6989913212300873,0
ZNF785,-0.09601445183207957,0
SHH,-3.5073916972397847,0
SLCO4A1,-1.3538122609177918,0
LOC102724094,-2.958772643047134,0
LOXL1-AS1,-0.3911154607970393,0
PAQR8,-1.3732127024075318,0
LAYN,-1.0391458906715365,0
IFITM2,-2.2474900898027483,0
CCNYL2,-1.0837407262045233,0
CCDC88C,-1.0433358454583006,0
FANK1,-0.3686131359012643,0
PSD3,-0.1051485625721007,0
CYR61,0.4983907465538451,1
ZBED6CL,-0.8419479208273124,0
IRAK1,-1.4757124785056774,0
FGFRL1,-0.5393007639319247,0
TIMP1,-1.2422856070384558,0
GPRC5A,-1.1348754183320455,0
PLAUR,-1.0281461547450101,0
RAB17,-1.7661665243271387,0
TMEM132E,-1.8398681003781814,0
SEMA4B,-0.922305142813606,0
ABTB2,-0.479789634903101,0
LTBP1,-1.4510666096434663,0
TMEM25,-0.40806541749294034,0
CTNNA2,-0.8435591304484594,0
IGFBP3,-3.02935410387282,0
