gene,otx_log2FC,reversed
CCL5,-1.7577283173920986,1
C18orf8,-0.10239535634521246,1
PCSK1N,-0.20189849465941911,1
TTC39C,-0.7429138729843956,1
KAZN,-1.0406597321592246,1
DUSP16,-0.4157633695360534,1
COL6A2,-1.146688599854059,1
FOXF1,-2.2269174130404297,1
ATF3,-0.19591009409656124,1
ULK2,0.04706564180109041,0
HSPA12A,0.16322291285231927,0
PTPRN2,-1.5377281144474502,1
GRB14,1.0404498746791333,0
LINC01351,-1.2753239856385434,1
ST3GAL6,-0.28941507220570717,1
IFI6,0.19350485087799107,0
NIPAL2,-1.2090350525958975,1
IL15RA,-1.3838752272423234,1
KCNK15,-2.2730552527773744,1
SORCS2,-0.8325518363953321,1
CXCL16,-1.7482240798904742,1
TUBB2B,-0.049627067967293215,1
PPP4R4,0.13634543295300805,0
CNKSR1,-1.805009314323791,1
MAP2,-0.795327352440367,1
GK,-0.525131373662969,1
WIPF3,-1.1591081706639113,1
KIF26A,-1.3077998589834925,1
CCDC144CP,-1.259322854327285,1
SHROOM3,-1.0240354535477936,1
GPC1,-0.7200891517987973,1
ZFX,-0.7983985918576337,1
VSTM4,-1.0855187909814368,1
EPHA10,0.49954162847493677,0
SEL1L3,-0.7540833055415632,1
HS3ST6,-0.8907728304808398,1
LOC102723927,-0.3447805232312309,1
PDZD4,-0.8769866008212777,1
HRK,-0.15019960489560447,1
ESPN,0.09439597185009774,0
DUSP8,-2.478335241556846,1
TMEM200B,-1.8967964866438658,1
PHF24,0.48265730675257457,0
EPB41L1,-1.8234757633853587,1
CNTFR,-0.7532557242989135,1
C2CD4B,-0.3334550156510232,1
GRIK3,-3.1889677671551717,1
LOC100130587,-2.3909118115707377,1
ZNF608,-2.360849550971148,1
PMP22,-0.49710436559740145,1
USP18,-0.6833760978855228,1
ZDHHC8P1,-2.296235620164195,1
PSMB9,-0.7797844198516639,1
TMCC3,-0.4658843011855742,1
ELOVL7,-0.625572735717979,1
COL5A1,-0.6881783767372234,1
XAF1,-3.052119996705269,1
TSPAN33,-0.20953214395680675,1
PCDH1,-0.06702021424301208,1
SLC9A3,0.14286284038836783,0
KCNG2,-1.0567298601310142,1
SCN2A,-1.667862599474164,1
HDHD1,0.05217058909951078,0
B3GNT4,-0.8276135180534414,1
ADRA2C,-1.5041781657000994,1
GPC4,-1.6987783552250244,1
RASEF,0.01809249784089495,0
CACNA1B,-1.2158248173585458,1
KCNQ1,-2.684170023556553,1
DACH1,-0.5199251756286483,1
SERTAD2,0.24419256493104946,0
SERPINE2,-0.3916007855896666,1
KANK4,-3.324672667965898,1
MFSD6,-1.0959009945721325,1
ATAD3C,-2.205076313619669,1
FAM81A,-1.476205310924839,1
ADM2,-2.931409213399128,1
RORA,-0.5417492229816725,1
ELL3,-0.3589545519941346,1
SLC1A4,-1.018669770973153,1
CCDC85C,-1.2706893691938106,1
KLHL15,0.2578026179986548,0
GRIP2,-1.2168415896116684,1
BST2,-2.4981983265434566,1
LARGE,-0.6460235964346372,1
EFNA1,-1.113938178940927,1
GNAO1,-0.8916887595826921,1
SERPING1,-0.8788965541212619,1
RBP7,-0.6418961303285347,1
CYP4F11,-0.8542284119886623,1
DGCR6,0.1261012406289428,0
LINC01315,-1.2055500543086328,1
FGD5,-1.8640640144353604,1
FOXC1,-0.5776885699318157,1
HAPLN1,-2.8163129257790347,1
FDXR,-1.2571639456406576,1
SCNN1B,-3.0854336734586516,1
HERC5,-0.04743686925485946,1
KREMEN2,-1.5372244689613233,1
NKX2-8,-1.9359875561930098,1
EDIL3,-1.0625622915556683,1
VAV3,-2.5740120751584454,1
CTSV,-0.4420700325646152,1
LINC00926,-0.35365619929818193,1
APOE,-0.6111595872222253,1
BAMBI,-0.7500016579320343,1
CRB2,-1.691311172837648,1
EFNB1,-0.6224903522048564,1
IGFBP2,-0.18332295167859947,1
AK8,-1.0363964089524913,1
SEMA3E,-1.4774151923592669,1
KLF9,-0.3524974511296932,1
CAMSAP3,-0.5678949932456243,1
OLFM1,-1.8946518463126374,1
RAB3IL1,-2.107622583536929,1
LRRC75A,-1.7133449420055236,1
CDH3,-2.900207573088978,1
SOD2,-0.42086379907546956,1
GALNT12,-0.009075410144023799,1
IGSF8,-1.5620002817622378,1
LYPD6B,-0.933434478050188,1
TFAP2A,-0.5698789197575778,1
LAG3,-2.2106625829556013,1
GRID1,-1.6622927893138133,1
SOX18,-1.1530834431426324,1
IL32,-2.7366135669889387,1
ATP6V1C2,0.29858003255628107,0
GPRIN2,-3.659092137965342,1
ENTPD8,-1.4067816101403459,1
CD40,-1.2068676756560617,1
GFPT2,-0.8992221954347572,1
PLEKHG1,-2.702304937389112,1
TTYH2,-1.2124136201661386,1
CP,-4.2316347455290675,1
GCA,-0.7303732972211368,1
TMEM26,-1.614473972490945,1
RSPH9,-1.4709684848863094,1
CCDC74B,-1.0676381620552284,1
LOC100506730,0.453622870264633,0
GBP7,-0.8617380490454895,1
LRP3,-0.6763713818959847,1
SERTAD4,-1.6027960576693956,1
CGNL1,-0.5756294298334454,1
ANKRD33B,-1.0988067749725232,1
MAP3K15,-0.24039482796419875,1
TMEM198,-2.6389916167698155,1
CPVL,-1.0357333761312146,1
RAB11FIP1,-0.16622161273985547,1
ADD3,-0.041819712188413405,1
LINC00472,0.11671708863631736,0
LOC202181,-0.6475843242079558,1
KCNH2,-2.2777427240407224,1
INPP4B,-0.8277116779999956,1
SYT7,-1.0872656214646907,1
RHOH,-2.5165322174697806,1
ATL1,-0.3305621905625751,1
ID2,0.55299462862952,0
APOL1,-1.2230250058675072,1
NEURL1B,-2.50780168948513,1
PRRT2,-0.44934587536703496,1
PIK3R5,-2.275486536064502,1
DOCK3,-0.8966900009692536,1
SLC41A2,0.22158544612489095,0
MNX1,-0.9378134532056048,1
PRIMA1,-1.8542417703065963,1
HECA,-0.61039125824351,1
PIM1,0.4999052769672403,0
CDON,-0.10695484737470906,1
AMOTL1,-0.46123971594739643,1
CLEC1A,-1.789386275032478,1
CBLN2,-3.2266108174099735,1
IRF1,-1.384664316856938,1
FOXI3,-1.6022139808976725,1
CYP4F22,-1.9979969154993982,1
KCNQ2,-1.0756711783162807,1
PANX2,-1.818216197744432,1
CEBPA,-0.6166276204591714,1
CNTD1,-0.6674819734219912,1
PPARA,-1.0717223762327635,1
TTC30A,-0.5889295612040737,1
ANKRD6,-1.227785914345553,1
ABCG4,-2.1541178962167344,1
DHRS13,-0.09726673853792711,1
NEO1,0.3127445600520069,0
TOX3,-1.3817232213485546,1
CSMD2,-1.1802907915466159,1
HLA-DRB1,-0.7332057910097487,1
TMEM98,-1.3267703882653068,1
NPHS1,-2.4819621676517967,1
PROSER2,-0.7194853376485062,1
CDH15,-1.170328043280774,1
PHKA2,-0.961608945934028,1
DPYSL4,-0.584374263856227,1
FBLN5,-1.0332585739064073,1
TET1,-0.5469030532959414,1
FCHO1,-0.9589620264358487,1
PP14571,-1.8759240446667569,1
ACE,-1.7864528195294058,1
QPRT,-0.09100069345211281,1
TTLL9,-0.6648827180790784,1
TMOD2,-1.3548907606330127,1
PARP11,-0.6455894957767834,1
KANK3,-1.5024158654088402,1
INSR,-0.2433447686486403,1
ASPHD1,-0.9332376805575517,1
RASSF8,-0.5888350245241174,1
UBA7,-2.6080708327833246,1
PCSK6,-0.305948791668742,1
WNK2,-1.2335024053513637,1
ADARB1,0.2986320601845751,0
TFCP2L1,-1.1797087356445966,1
OTOF,-4.945912444895451,1
COLCA2,-2.101507334427897,1
CLEC11A,-1.376635082858356,1
PLK5,0.5282987348977537,0
B3GNT8,-1.9891999710350592,1
TLR2,-1.0748724044361357,1
PDZD2,-0.9703607754771286,1
KCNG1,-0.7819623006302843,1
LY6D,-1.0564961336503609,1
JMY,-0.13700119096520957,1
GRPR,-0.5286489668262585,1
ASMTL,1.0250660595541756,0
KNDC1,-1.5248307060475614,1
SCIN,-0.36441675894972647,1
RSPH1,-0.8947930523732319,1
SCML2,0.2554372338814108,0
LOC171391,-1.0297755746124784,1
PTPRCAP,-2.0160135140180295,1
TNFAIP3,-1.9717204684051408,1
N4BP3,-1.9884127723124125,1
PLK2,-0.7120508439423183,1
APOO,-0.8977820199984592,1
TSPEAR-AS1,1.4035626800057406,0
C1QL4,-1.3857359949764136,1
LAMP3,-1.3017769547723077,1
GADD45A,-1.0990435082371643,1
ULBP1,-0.5969123556565643,1
SPHK1,-0.5528366550761312,1
NEBL,-0.5956521894101883,1
GABARAPL1,0.3809022723415545,0
KIFAP3,-0.4609687377705747,1
ARHGDIG,-3.7149767123410937,1
FGFR4,-0.7795828487553162,1
HLA-B,-0.5547978611285931,1
SLC22A5,-1.0690181515757882,1
UNC13A,-3.4613961762040453,1
RNF157,-1.2312921919603594,1
FTH1,-0.2153701476682528,1
CLEC19A,-0.33375311254456136,1
LOC283177,0.0,0
PPFIBP2,-1.0616904905841844,1
TMEM107,-0.1583945377108904,1
DLL1,-1.3706301385709994,1
LOC100130417,-0.7000048945347253,1
KIAA1804,-0.36849266834905414,1
ADCY5,-1.3755022696564465,1
ADAP2,-0.46977428277449373,1
RIOK3,-0.37007067891663326,1
KCNK5,-0.5227539846918843,1
SOX8,-0.5539529412619899,1
COL6A1,-1.0005499399816848,1
FEZ1,-0.6680045279713038,1
IFIH1,-1.9150345527687387,1
PDE7B,-0.7790680674105781,1
TLCD2,-1.272141326136257,1
C15orf48,-0.9384138931692902,1
ADGRA1,-2.477023740489318,1
FOXD3,-2.2994575739085765,1
GNAI1,-0.24468672460763052,1
COL20A1,-2.151431873261639,1
CEBPD,-1.4176342219789824,1
NID1,-0.2893806253526474,1
SLC22A17,0.07765411690424617,0
ETNK2,-1.4953909037542568,1
NRXN2,-0.8889377582083471,1
FAXC,-0.8707300136750593,1
EPB41,-0.47742023766923225,1
TMEM117,-0.5970242786822659,1
C17orf107,-2.0156762367020065,1
LOC90246,0.7545213782762232,0
DSC3,-0.662117924395142,1
MAGOH2P,0.8639537169723227,0
RSPO4,-4.230313888468121,1
SEMA4D,-0.3766888010116345,1
IL10RA,-0.16128868162649734,1
PIK3R1,-0.26550472930654756,1
IL10RB,-0.4901679968866812,1
TAL1,-2.554949462364927,1
TMEM26-AS1,0.11424969665325135,0
LOC100129697,-1.290230847446968,1
MGAT3,-2.933336438948519,1
TMEM169,0.3136648909246018,0
NXN,-0.18816564369895694,1
DAPK1,-0.14939008398034748,1
SLC3A2,-0.7171573810010994,1
SOX17,-1.9613229253066518,1
BMP8B,-0.18127646859851776,1
PGBD5,-0.20364135128686423,1
MPZL2,-1.8121667967538526,1
EN2,-1.7956445922570152,1
SRR,-0.2099018920231579,1
RIMS3,-1.7008745027078582,1
FAM129A,-0.9817534534170207,1
ABCG1,-1.3742116510047042,1
ISG15,-0.14222293122992546,1
DGCR5,-1.5222190773039541,1
PCDHGB5,-0.14732827488361977,1
MIAT,1.2800232046390783,0
CRLF1,-0.8983055169914627,1
ZCCHC12,0.01696440873960725,0
SERPINF1,-2.2652071523094497,1
FAM163A,-1.5945750613645127,1
GMNC,-2.2156656281618283,1
FOLH1,-0.8618727019843392,1
CHST8,-0.6223477608041907,1
TDRP,-0.5635551503901537,1
LINC01166,-0.4904325874138973,1
SPAG17,-0.2694223780025702,1
SCN5A,-1.764404016887208,1
SLC2A5,-0.3126900842425933,1
CDKL5,-0.24824332683827333,1
BEX2,-1.672638525229,1
NPL,0.03581825420786444,0
LMX1B,-0.5240156329685615,1
ONECUT2,-0.6877760154634096,1
HPCA,-3.1631149034036303,1
STAB1,-1.5860943788658228,1
POM121L2,-0.20535888615946662,1
ZSWIM5,0.4442990316890274,0
PAG1,0.5055870165807619,0
SKIDA1,-1.1224235954444985,1
SCN1A,-0.8621333462730123,1
SYPL2,-0.5443527174588958,1
C1QTNF1,-2.65643732450446,1
UBE2L6,-1.6072050869960108,1
RTN4RL2,-2.373574137644039,1
RRAGD,-0.2695453606058802,1
SH2D3C,0.03218609668909789,0
GAS6,-0.2706554756417905,1
SRSF12,-1.4767008321107458,1
GNG13,-1.7624469003128054,1
CNTN2,-0.8625313898032451,1
PTGFRN,-2.0958837145544083,1
APCDD1,-1.0050065257719938,1
SLC17A7,-1.0234116267035924,1
MMP9,-1.7103826844632266,1
SLC43A2,0.4235326651667357,0
HLA-C,-0.8092275676372811,1
SOWAHA,-2.262860759178141,1
CPE,-0.20166679233042029,1
CCPG1,0.4524517870104301,0
LOC283856,-2.0898131847802586,1
COLGALT2,-1.094344838612451,1
RNASET2,-0.9694325415205727,1
CHRNB2,-1.545748807474427,1
