gene,log2FC,p,fdr
HIST1H2BJ,1.5813422005438218,2.829878468840345e-05,0.008332375085601152
CD36,-2.490629178419106,2.920692261052986e-05,0.008332375085601152
MX1,-1.9266922895953797,2.9407483546666946e-05,0.008332375085601152
RAB3IL1,-2.321071696863518,2.9467486385877006e-05,0.008332375085601152
KIRREL2,-2.1264965199383488,2.9697392011032244e-05,0.008332375085601152
GPR161,-2.6984910243779687,2.987846451035375e-05,0.008332375085601152
MAP2K5,-0.7157526169650819,3.0065244519247543e-05,0.008332375085601152
PIR,-1.2407877398828528,3.0333216181232958e-05,0.008332375085601152
PHLDA1,-1.3190448036800255,3.113189866213773e-05,0.008332375085601152
YBX2,-2.2062754936015683,3.151306135872981e-05,0.008332375085601152
TM4SF1,-1.285873588042369,3.176414000181839e-05,0.008332375085601152
MREG,-1.5824929961573009,3.190133908410131e-05,0.008332375085601152
ADORA2A,-7.822474424435755,3.195940328293882e-05,0.008332375085601152
MARCH10,-1.5785107580509734,3.1987196564717496e-05,0.008332375085601152
ZNF546,-1.316651895442746,3.2017533999021985e-05,0.008332375085601152
IFIH1,-1.9613302986914354,3.2136971570762636e-05,0.008332375085601152
PADI2,-2.914349171885066,3.254507558918505e-05,0.008332375085601152
ARL4C,-2.380943448273234,3.28612270051872e-05,0.008332375085601152
CHRNA4,-3.611675426472943,3.304624679841817e-05,0.008332375085601152
BISPR,3.630366895913599,3.3443879020967375e-05,0.008353082047925578
TMPRSS2,-1.7510470084239262,3.390789452746073e-05,0.008389827173967503
ANO9,-4.519606479670279,3.4803826513688184e-05,0.008531771360647174
HOXC10,-1.6036010427082772,3.584150002043578e-05,0.008705538651752635
LOC728743,-1.8335224948298672,3.642352599480479e-05,0.008766480461022335
NEURL1B,-2.8344772866240957,3.684879829442376e-05,0.008788936349953775
ADI1,0.8401363207529524,3.768316234623259e-05,0.008827242407887502
RASL10B,-2.9681483301532143,3.7900224523117424e-05,0.008827242407887502
LGALSL,-1.0500976225828298,3.800965569401984e-05,0.008827242407887502
DAB2IP,-2.052009100567666,3.874753769587612e-05,0.008846799964603311
MIR4435-2HG,-1.1601077686634618,3.913045042399829e-05,0.008846799964603311
MAMSTR,-1.6349415349379548,3.9224486478077754e-05,0.008846799964603311
NCS1,-1.2753658447398113,3.9430496537230996e-05,0.008846799964603311
TGFB1I1,-3.586114236531439,4.060360486799227e-05,0.00903344906621929
RAD51D,-2.068575818214061,4.095832466749274e-05,0.009036430379765587
IGF2,-2.4715689891348482,4.188553966963286e-05,0.009097656028846674
UBL4A,-1.5518177174351262,4.242537552123947e-05,0.009097656028846674
TCF7L1,-1.2734880735858134,4.307721288069491e-05,0.009097656028846674
MED24,-1.6581562097300129,4.314996271650486e-05,0.009097656028846674
TSPAN15,-1.4561142471331934,4.342309848317656e-05,0.009097656028846674
HIST1H2BD,2.5830859650700067,4.356537292015776e-05,0.009097656028846674
C11orf45,-1.2603866119348641,4.39245018144248e-05,0.009097656028846674
KSR2,-2.5757247658797278,4.398489033776673e-05,0.009097656028846674
FAM84B,-1.9450875909384528,4.708759910229196e-05,0.00962593970500425
PTPN6,-2.1346007069105104,4.726618174317479e-05,0.00962593970500425
ARL3,-0.5171186210279792,5.0555555046292605e-05,0.010217239082828983
DDR1,-1.9103660402696523,5.1647425803262714e-05,0.010237034030296568
CBLN2,-3.8677475904997953,5.2199183003967265e-05,0.010237034030296568
GDAP1,-1.1854605251716341,5.3509839580855155e-05,0.010237034030296568
COA6,-1.1518948224694459,5.376764778449247e-05,0.010237034030296568
DLX3,-1.6327451297468816,5.378948139988012e-05,0.010237034030296568
HSD3B7,-3.1224043404765798,5.380930361939615e-05,0.010237034030296568
AHNAK,-0.4801091020434072,5.3831202834294e-05,0.010237034030296568
PRDX1,0.9671140537442362,5.411704111163031e-05,0.010237034030296568
DLX4,-2.117269311426411,5.413351328579866e-05,0.010237034030296568
KIF17,-2.202659694516341,5.608723786797272e-05,0.010451796665302836
TLDC1,-1.6835304575856807,5.612051158146972e-05,0.010451796665302836
HAPLN3,-2.1585236527360063,5.6453519287565845e-05,0.010451796665302836
SYNGR3,-2.633577051869362,5.710217235218288e-05,0.010493135760831067
DLG4,-1.89059425852383,5.7469487641945414e-05,0.010493135760831067
GPC4,-1.8143534721379897,5.790909014760967e-05,0.010499636352285388
ZP3,-1.4260121044274472,5.849623805636851e-05,0.010499636352285388
