gene,jq1_log2FC,reversed
CCL5,-1.8385641458657975,1
C18orf8,0.039498318129119525,0
PCSK1N,0.02731281744999592,0
TTC39C,-0.7527637884349883,1
KAZN,-1.105510225650531,1
DUSP16,-0.5869443194101613,1
COL6A2,-1.1405705509154878,1
FOXF1,-2.583678490771312,1
ATF3,0.1748566571022092,0
ULK2,0.23238383341531055,0
HSPA12A,0.40820007991063534,0
PTPRN2,-1.737766765424701,1
GRB14,1.1632365868171224,0
LINC01351,-1.502852109385044,1
ST3GAL6,-1.0349599889321932,1
IFI6,0.5138379874006649,0
NIPAL2,-1.4309637931362005,1
IL15RA,-1.4720456529162549,1
KCNK15,-2.034356860381436,1
SORCS2,-0.7548533152974599,1
CXCL16,-1.5873565456806435,1
TUBB2B,-0.08068426842120147,1
PPP4R4,0.13178640935966168,0
CNKSR1,-2.1341082206558024,1
MAP2,-0.8558034138185988,1
GK,-0.915411926044059,1
WIPF3,-1.231916122413109,1
KIF26A,-1.3732594178015063,1
CCDC144CP,-1.1336150939644367,1
SHROOM3,-1.4329582076463447,1
GPC1,-0.8200325939913853,1
ZFX,-1.0397179543650203,1
VSTM4,-0.7978496582135635,1
EPHA10,0.6731623345766788,0
SEL1L3,-0.9242676800803862,1
HS3ST6,-0.9293381895476838,1
LOC102723927,-0.5462631664677859,1
PDZD4,-0.7361300280256255,1
HRK,-0.6291407528052098,1
ESPN,0.2830599229189943,0
DUSP8,-2.4276070754834462,1
TMEM200B,-1.978714343329952,1
PHF24,-0.04866578421426215,1
EPB41L1,-2.115638963170407,1
CNTFR,-0.6484194747866301,1
C2CD4B,0.4401292544004083,0
GRIK3,-4.049886190594465,1
LOC100130587,-2.497785432716512,1
ZNF608,-2.7208909686884315,1
PMP22,-0.5559132562690685,1
USP18,-0.57735657732173,1
ZDHHC8P1,-2.580015609131265,1
PSMB9,-0.5890375855559462,1
TMCC3,-0.32607239644031427,1
ELOVL7,-0.4748007467385609,1
COL5A1,-0.878912274977381,1
XAF1,-3.8812822799032385,1
TSPAN33,0.04481181676973378,0
PCDH1,0.19058794013963354,0
SLC9A3,0.05084002861248749,0
KCNG2,-2.4975628401160845,1
SCN2A,-1.862445476529731,1
HDHD1,0.07921898210283906,0
B3GNT4,-1.105896158232123,1
ADRA2C,-1.52802203550337,1
GPC4,-1.8143534721379897,1
RASEF,-0.016144337126354102,1
CACNA1B,-1.257115955097821,1
KCNQ1,-2.6567509833153578,1
DACH1,-0.7390588151841859,1
SERTAD2,0.1743152242503445,0
SERPINE2,-0.061496313754565435,1
KANK4,-2.688321684209472,1
MFSD6,-1.2023652379471974,1
ATAD3C,-2.409793382199691,1
FAM81A,-1.3911982720465028,1
ADM2,-3.435060313717771,1
RORA,-0.9157366887018101,1
ELL3,-0.33115530374938196,1
SLC1A4,-1.0671942557629777,1
CCDC85C,-1.35235645008129,1
KLHL15,0.26246511664203354,0
GRIP2,-1.7679122280524515,1
BST2,-2.5791441827123625,1
LARGE,-0.4147213539957697,1
EFNA1,-1.218738943735998,1
GNAO1,-1.002431227587003,1
SERPING1,-0.8574063231219835,1
RBP7,-0.6333274538262756,1
CYP4F11,-1.7212140097069097,1
DGCR6,0.4629908946870742,0
LINC01315,0.1418984855049965,0
FGD5,-2.196989255814536,1
FOXC1,-0.47224793355577965,1
HAPLN1,-2.9919390581290966,1
FDXR,-1.2986825377093236,1
SCNN1B,-3.386831124837288,1
HERC5,0.13626523020997183,0
KREMEN2,-1.7735693369429049,1
NKX2-8,-1.4647671910235238,1
EDIL3,-1.2351082689822235,1
VAV3,-1.7386866963119028,1
CTSV,-0.36878719516052527,1
LINC00926,-1.7104858483582674,1
APOE,-0.5813434490066296,1
BAMBI,-0.5566719561941262,1
CRB2,-2.0892034087942526,1
EFNB1,-0.6588752755356566,1
IGFBP2,-0.12369233157823345,1
AK8,-1.08634405314897,1
SEMA3E,-1.7564672000801878,1
KLF9,-0.17827172418217518,1
CAMSAP3,-0.8949748570326266,1
OLFM1,-1.7688763599029187,1
RAB3IL1,-2.321071696863518,1
LRRC75A,-1.5592391884683963,1
CDH3,-4.071802714855019,1
SOD2,-0.3982274008690041,1
GALNT12,0.24223262870077455,0
IGSF8,-1.873113880908563,1
LYPD6B,-1.17294884533358,1
TFAP2A,-0.781204766594179,1
LAG3,-2.5281747869109275,1
GRID1,-2.198075958443215,1
SOX18,-1.4273602645251309,1
IL32,-3.0414188676482032,1
ATP6V1C2,-0.04852624304388664,1
GPRIN2,-3.8088508729104364,1
ENTPD8,-1.4324413158949314,1
CD40,-1.1842734441936447,1
GFPT2,-0.6655785474575016,1
PLEKHG1,-3.522603083601221,1
TTYH2,-1.5083090584995649,1
CP,-4.7631256540247175,1
GCA,-0.7799747838711113,1
TMEM26,-2.0523334953490915,1
RSPH9,-1.797072119411177,1
CCDC74B,-1.0332493406754608,1
LOC100506730,0.4938434253708017,0
GBP7,-0.8617380490454895,1
LRP3,-0.6375325519353741,1
SERTAD4,-1.7978548567794865,1
CGNL1,-0.2578040148154539,1
ANKRD33B,-1.0023391144161842,1
MAP3K15,-0.27452621591106663,1
TMEM198,-2.4971679949783274,1
CPVL,-1.2872169108878957,1
RAB11FIP1,-0.2905921536164833,1
ADD3,-0.043162199909453136,1
LINC00472,0.2978368254640289,0
LOC202181,-0.4430839507334543,1
KCNH2,-2.466205923847154,1
INPP4B,-1.0343813711043346,1
SYT7,-1.0535079530670712,1
RHOH,-2.6339146226291845,1
ATL1,-0.3733269393128227,1
ID2,0.7551029592584584,0
APOL1,-1.1510566916122151,1
NEURL1B,-2.8344772866240957,1
PRRT2,-0.7786889094100982,1
PIK3R5,-2.608988897442618,1
DOCK3,-0.9137522673340959,1
SLC41A2,0.33172822789514633,0
MNX1,-0.8424500488580273,1
PRIMA1,-2.3918198437198153,1
HECA,-0.6067955430836314,1
PIM1,0.3461929996974291,0
CDON,-0.00803782797286523,1
AMOTL1,-0.49374119428929575,1
CLEC1A,-1.6970690652936642,1
CBLN2,-3.8677475904997953,1
IRF1,-1.2090037109820457,1
FOXI3,-1.6030751068484634,1
CYP4F22,-2.3674170605863423,1
KCNQ2,-1.2476489280692693,1
PANX2,-2.1567053292580534,1
CEBPA,-0.14550736976770828,1
CNTD1,-1.7745989393420276,1
PPARA,-1.1783897320812677,1
TTC30A,-0.46213184693475373,1
ANKRD6,-1.099579142692054,1
ABCG4,-2.3031627396937133,1
DHRS13,-0.01055418471230496,1
NEO1,0.4029012007237185,0
TOX3,-2.311227223648026,1
CSMD2,-0.7068674541127598,1
HLA-DRB1,-1.4579569671347354,1
TMEM98,-1.402175513227819,1
NPHS1,-2.3440915255319243,1
PROSER2,-0.568797528356134,1
CDH15,-1.1682754493228824,1
PHKA2,-1.0261611003339386,1
DPYSL4,-0.3807566717279167,1
