gene,spearman_rho,p_nominal,detection_frac,p_fdr_bh
Braf,-0.12589526941631307,0.224108909863489,0.789,0.6592844581815727
Pygb,-0.12589034767956359,0.2241271673748489,0.484,0.6592844581815727
Abhd12,-0.1258815293288468,0.22415988225221745,0.579,0.6592844581815727
Madd,-0.12584162318940795,0.22430797056685886,0.179,0.6592844581815727
Ssr2,-0.12582588265922262,0.22436640126016513,0.874,0.6592844581815727
Txndc11,-0.1258160493979741,0.22440290890946557,0.579,0.6592844581815727
Inpp5a,-0.12581403389540916,0.22441039232015386,0.737,0.6592844581815727
Mapk1ip1,-0.1257385654665329,0.22469072726781242,0.284,0.6598865835251108
Pex5,-0.12567932509554133,0.22491095387733792,0.463,0.6599979845049643
Gm56743,-0.1256379119062717,0.22506499784302245,0.421,0.6602383164185611
Atf4,-0.12558062043940388,0.22527822618401142,0.779,0.6603798002420471
Ppp3cc,-0.12545629950133824,0.22574141397846256,0.568,0.6612887875983477
Senp2,-0.12538069605573068,0.22602341975990997,0.6,0.6619178539163998
Slc39a9,-0.12524381511018107,0.22653462372647998,0.537,0.6632531643706036
Unk,-0.1251993366179185,0.22670091036103895,0.411,0.6633510449268795
Dnmt1,-0.1251664221263516,0.2268240191219274,0.558,0.6633510449268795
Dcaf13,-0.1251491511373335,0.22688863587360497,0.589,0.6633510449268795
Psmb4,-0.1251225428998328,0.22698821177816228,0.905,0.6633510449268795
Dnase1l1,-0.12511044926456955,0.2270334798745602,0.242,0.6633510449268795
Sun1,-0.12510195518386547,0.22706527814187344,0.547,0.6633510449268795
Angel2,-0.12506666796687532,0.22719741209453906,0.579,0.6634983296098295
Pafah1b1,-0.12504422682492589,0.2272814716153268,0.895,0.6634983296098295
Cep128,-0.12499047234236446,0.22748291262807355,0.263,0.66392497129929
Atp6v1g1,-0.12492126377930542,0.22774245098796994,0.863,0.6640599241519866
Snhg9,-0.12492065355575527,0.22774474030420788,0.284,0.6640599241519866
Hbp1,-0.1249191512966658,0.22775037625200972,0.779,0.6640599241519866
Gm17227,-0.12490110368068465,0.2278180922034192,0.126,0.6640960993169348
Zfp260,-0.12483563971934353,0.22806383612706665,0.726,0.664307813868506
Dnajc4,-0.12480295836150028,0.2281865875544469,0.526,0.664307813868506
Gga2,-0.12475431044606616,0.2283693952324784,0.516,0.664307813868506
Mov10,-0.12474918505362119,0.22838866125170257,0.421,0.664307813868506
Eva1b,-0.12468467233662292,0.2286312577665096,0.842,0.6648523884723858
Cct8,-0.12465206303112013,0.2287539519169603,0.895,0.6650481115416325
Ldb1,-0.12447157223811958,0.22943389162895544,0.695,0.6663794718889375
Appbp2,-0.12441793955994832,0.22963620746868693,0.821,0.6665825624953101
Lca5,-0.1244104566919162,0.2296644446354394,0.168,0.6665825624953101
Taf15,-0.12434814788271589,0.229899665986371,0.716,0.6666364316053321
Ncoa7,-0.12434199626453935,0.2299228980366049,0.505,0.6666364316053321
Snrpa1,-0.12431831310479897,0.23001235461133282,0.705,0.6666364316053321
Clybl,-0.12431005544782345,0.2300435513473644,0.6,0.6666364316053321
Car2,-0.12430105196280512,0.23007756913238084,0.189,0.6666364316053321
