gene,spearman_rho,p_nominal,detection_frac,p_fdr_bh
Tagln,-0.6297592171677213,8.107975191850737e-12,0.295,9.73524581285518e-08
Ncam1,-0.6135199146476649,3.840117765978215e-11,0.537,2.3054147008050215e-07
Ndufa4l2,-0.5677421460173014,1.9749455852312877e-09,0.253,7.90439054729069e-06
Col12a1,-0.5628175638255876,2.9130570345205827e-09,0.358,8.74426895337216e-06
Thbs2,-0.5544548979030839,5.555834615491265e-09,0.316,1.3341781245640723e-05
Ptprn,-0.5211045489098736,6.16143292066872e-08,0.368,0.0001056861786835276
Acta2,-0.5126522003236372,1.08913494233514e-07,0.558,0.00016346554065772533
Tnc,-0.5068674985127433,1.594326270026086e-07,0.221,0.0002127008391578135
Tpm4,-0.49026965912516723,4.579492855123253e-07,0.926,0.0004582164225955408
Slc16a3,-0.48602073275735885,5.946844843300728e-07,0.505,0.0005492597387193218
Tmem45a,-0.4796147008919709,8.759876523556532e-07,0.621,0.0007404578295936705
Col5a1,-0.4787031669157332,9.250326845927423e-07,0.916,0.0007404578295936705
Mmp14,-0.4746722548525496,1.1748053832575007e-06,0.895,0.000841677911990632
Tln2,-0.47443009177680473,1.191681894215103e-06,0.558,0.000841677911990632
Mmp2,-0.47134724833843,1.4275941005635976e-06,0.442,0.0008545779859139375
P4ha2,-0.47097824366598695,1.458623158395962e-06,0.453,0.0008545779859139375
Myh9,-0.47053255554794593,1.496950946515982e-06,0.863,0.0008545779859139375
Bgn,-0.4697454848345002,1.5669730604230446e-06,0.979,0.0008545779859139375
Mif,-0.4689910864189353,1.6369862310336108e-06,0.842,0.0008545779859139375
Inhba,-0.4650887459762819,2.048912114246371e-06,0.211,0.0010250536564898407
Fbln2,-0.4612127079838575,2.5536561010473315e-06,0.937,0.0012264699522110123
Elk3,-0.4527828890245357,4.084759079068465e-06,0.726,0.0018863731639375025
Tes,-0.4494775036527674,4.894269250514282e-06,0.421,0.0021255111585336225
Amotl1,-0.44924472196568216,4.9566346663564114e-06,0.705,0.0021255111585336225
Prelid2,-0.43877176266418705,8.67875865046857e-06,0.347,0.00315775318533867
Jak3,-0.43588664849543607,1.009422706082343e-05,0.2,0.0035647465976266744
Wipi1,-0.4342703705753927,1.097921233322364e-05,0.705,0.0037664972138576067
Nt5e,-0.4334603764438656,1.1449648231753502e-05,0.305,0.0038187757310740086
Fblim1,-0.42991477242412024,1.374056011060326e-05,0.663,0.004282387786966537
Runx2,-0.4294032114073619,1.4104578101834062e-05,0.495,0.004282387786966537
Pdlim7,-0.42917989782940663,1.4266303945920004e-05,0.768,0.004282387786966537
Sema7a,-0.4239689312570268,1.8572187723705464e-05,0.137,0.005406576760508072
Ccn4,-0.4235808557131095,1.893732867504001e-05,0.526,0.005406576760508072
Slc39a6,-0.4231379519938983,1.9362272066448497e-05,0.642,0.005406576760508072
Ets1,-0.4118494936888042,3.373519768740698e-05,0.442,0.00872224480844416
Prnp,-0.41052726532681233,3.595555009040546e-05,0.737,0.008810577345622416
Gadd45g,-0.40828234966623134,4.004062628244841e-05,0.305,0.009242052939337858
Fhdc1,-0.4081925105071448,4.0212790786743116e-05,0.337,0.009242052939337858
Cthrc1,-0.4080556100416028,4.04764710838912e-05,0.221,0.009242052939337858
Lbh,-0.40693594373026587,4.269440271914892e-05,0.579,0.009242052939337858
Siah2,-0.4068260748998955,4.291804425322767e-05,0.326,0.009242052939337858
Gpc1,-0.4067349131838085,4.310443612916799e-05,0.274,0.009242052939337858
Runx1,-0.40421635178712895,4.856268840627455e-05,0.789,0.009882918638883704
Tnfrsf23,-0.40266815617404844,5.2230921872478765e-05,0.305,0.010115107724562138
Tpm2,-0.4021689566425462,5.346771609140789e-05,0.832,0.010190267731897374
Pxdn,-0.4000866488239487,5.8927020163214814e-05,0.684,0.010720253501510913
Itga5,-0.39879876065462827,6.255888201858742e-05,0.642,0.011211111886525063
Pmepa1,-0.39770002292459933,6.582099474663976e-05,0.832,0.011442682496582559
Pkm,-0.3974382315327981,6.66212622019462e-05,0.947,0.011442682496582559
Dap,-0.3974093614946116,6.671006702430074e-05,0.905,0.011442682496582559
P4hb,-0.39591215626460713,7.146947325315477e-05,0.937,0.011755259799323688
Col1a1,-0.39387449436241717,7.845565790858934e-05,0.968,0.0127299606014653
5730419F03Rik,-0.3922786742893026,8.43648489192954e-05,0.442,0.013506249879653064
Gm17501,-0.3902106566230844,9.263855454392002e-05,0.116,0.014392389684020169
Traf4,-0.38895104394896085,9.804101666534836e-05,0.358,0.014813380770929516
Gapdh,-0.3882440414829388,0.00010120010626608884,0.916,0.0150013540239127
Ece1,-0.3860233574130463,0.00011174800897666097,0.611,0.015630662545931786
Ereg,-0.3858488422754996,0.0001126187344864382,0.105,0.015630662545931786
Dhx40,-0.38543620785870875,0.00011470263156555505,0.642,0.015630662545931786
Myo7a,-0.3854078057007095,0.00011484737668089066,0.221,0.015630662545931786
Nt5dc2,-0.3851871798758296,0.00011597752983326768,0.453,0.015630662545931786
Loxl2,-0.3850368747913277,0.00011675336469973145,0.832,0.015630662545931786
Pofut2,-0.3829484122107116,0.00012804371702475301,0.779,0.01671109685126315
Srgap3,-0.38181158096493495,0.00013460691853673127,0.379,0.017378766353446585
Adamts4,-0.38129491677457994,0.00013769161232583046,0.316,0.017587906268045173
Mthfd1l,-0.3809532940660862,0.00013976707248552177,0.526,0.017665086729827997
E2f1,-0.37892168508424295,0.000152720447364844,0.189,0.01890427228360497
Jmjd6,-0.3773171883321769,0.00016372674395449073,0.579,0.019952553449995983
Fzd2,-0.377206480609212,0.0001645126002789708,0.611,0.019952553449995983
Kdelr3,-0.3760046111825561,0.000173271626453912,0.632,0.020658974990842117
Enpp3,-0.37593681581450966,0.0001737783354772261,0.379,0.020658974990842117
Zfp618,-0.3747184181674399,0.000183121676668163,0.263,0.021315549299560272
Fstl1,-0.3745782888716358,0.00018422554590245642,0.947,0.021315549299560272
Insyn1,-0.37452751148569446,0.0001846270614769941,0.347,0.021315549299560272
Rnf19b,-0.3737602462366064,0.0001907934405250512,0.495,0.021817684194136093
Ch25h,-0.3680074006289242,0.00024345740373156027,0.358,0.02683178786249026
Rps15,-0.36799540872078884,0.00024357998475984326,0.979,0.02683178786249026
Pi4k2b,-0.36772562752153454,0.00024635278004297626,0.505,0.02689052572705469
Serpinf1,-0.3664958322516347,0.0002593653706181113,0.705,0.02805585590100597
Mex3b,-0.3655731653749334,0.00026954123993143045,0.316,0.028896264891577546
Col6a3,-0.36458627559135814,0.0002808319030204285,0.895,0.0298402536244804
Rab31,-0.36300426179541495,0.00029984401935545426,0.716,0.03126109998105825
Nid1,-0.3628295772321484,0.00030201445804970073,0.811,0.03126109998105825
4833422C13Rik,-0.3610982688752428,0.00032432202837497076,0.158,0.03272382012351491
Ankrd50,-0.3607595614753027,0.00032885978497794487,0.358,0.032905161985251535
Fbxw7,-0.35831311694692863,0.00036341148874667503,0.568,0.036061832606457254
Nexn,-0.35775291082378297,0.00037177939166460155,0.284,0.03629231833916155
Col15a1,-0.3571124308069199,0.0003815632394253498,0.4,0.03694701464338851
Pdgfc,-0.35621970915074747,0.00039559547308941405,0.242,0.03799931876307676
Grhpr,-0.3541239420828351,0.00043042126051144684,0.568,0.03999382927761538
Bmp1,-0.3538134262922814,0.00043581425007383157,0.916,0.03999382927761538
Sdc1,-0.3534349639877678,0.0004424712030817111,0.653,0.03999382927761538
Col5a2,-0.3533727282060432,0.00044357479407057884,0.926,0.03999382927761538
Soat1,-0.35328568106533353,0.00044512259004978583,0.811,0.03999382927761538
Cd276,-0.35294415979394667,0.00045124323378890267,0.337,0.03999382927761538
Cdkl3,-0.35282953543435475,0.0004533147518782933,0.242,0.03999382927761538
Xndc1,-0.3527340899892182,0.0004550463209794098,0.274,0.03999382927761538
Runx2os1,-0.3527126510633793,0.00045543609957744057,0.179,0.03999382927761538
Pgm1,-0.35270690964328755,0.00045554053567656446,0.642,0.03999382927761538
Cryab,-0.35266354616719003,0.00045633002507148386,0.737,0.03999382927761538
Kif26b,-0.3516218106869155,0.0004756778124384169,0.674,0.0406688274173695
Tbc1d25,-0.35161512503816744,0.00047580437753054304,0.158,0.0406688274173695
Tmem97,-0.35152149450405257,0.00047758013374274167,0.463,0.0406688274173695
Gm5914,-0.35007327619498724,0.0005058321753951004,0.179,0.042344595792681176
Myh10,-0.349973253578704,0.0005078389101479212,0.495,0.042344595792681176
Dnajb1,-0.349433321841198,0.0005187980888639669,0.495,0.04266581269170993
Eno1b,-0.3485332149492577,0.0005375509216746248,0.105,0.043610634571264996
Cald1,-0.3466352171541136,0.0005791460656579652,0.937,0.04635871206903459
Casp2,-0.3461694401001111,0.0005897943625090697,0.347,0.04689841662679735
Ctsc,-0.34498203784818626,0.0006177561026837535,0.8,0.04838241335211704
Unc5b,-0.3447961195117163,0.0006222424870670513,0.526,0.04838241335211704
D130058E05Rik,-0.34469993603495075,0.0006245751702821805,0.116,0.04838241335211704
Bace1,-0.3444243598652221,0.000631302945842108,0.632,0.04859009276106533
Gpx3,-0.3432200738139437,0.0006614889256498316,0.421,0.04995281465583352
Lrfn4,-0.3428313479059997,0.0006715107901419666,0.211,0.0503926878577162
Pdk1,-0.3409467460198858,0.0007220956655649154,0.484,0.05351976948418482
Col5a3,-0.34059392636140734,0.0007319440719942712,0.6,0.0537809927288503
Rpl12,-0.3405002869914634,0.000734578396562959,0.968,0.0537809927288503
Foxs1,-0.33977030339541725,0.0007554136621526296,0.305,0.0549712232816159
Osgin2,-0.3385032796429792,0.0007928628085511383,0.253,0.05700541163038035
Trim41,-0.33802326894904133,0.0008074875710985137,0.484,0.05736984181171511
Bloc1s4,-0.3376823053445315,0.0008180250220433201,0.463,0.05753723316301197
Uck2,-0.3375554030668544,0.0008219788654959747,0.558,0.05753723316301197
F2r,-0.3373600981183932,0.0008280979879998209,0.411,0.05753723316301197
Tmeff1,-0.33733105379192335,0.0008290115213792847,0.116,0.05753723316301197
Agrp,-0.33631237711095185,0.0008616397031635517,0.2,0.05870105603199958
Vav3,-0.33600396004443733,0.0008717468243380241,0.484,0.05870105603199958
Mpzl1,-0.33591236656804097,0.000874769186206259,0.316,0.05870105603199958
Cdk1,-0.33576970538386003,0.0008794956962420427,0.368,0.05870105603199958
Fn1,-0.3356337937807885,0.0008840202363867565,0.947,0.05870105603199958
Gtf2ird1,-0.3354225451746422,0.0008910949169387012,0.547,0.05870105603199958
Adam12,-0.33541366911380166,0.000891393301725928,0.411,0.05870105603199958
Kdelr2,-0.3353000437039343,0.0008952210809097579,0.895,0.05870105603199958
Rpl23a,-0.3351718353559151,0.0008995581169224555,0.947,0.05870105603199958
Fhl2,-0.3350031824311249,0.0009052924871331712,0.242,0.058726172709628065
Notch3,-0.3344389100872172,0.000924721433453073,0.2,0.05937502808273287
Slc9b2,-0.3341325362346235,0.0009354289283641393,0.105,0.05954927060946204
Rnf19a,-0.3327956312412176,0.0009834874269010038,0.642,0.062151229130528174
Hmgb3,-0.3325461307859393,0.0009927015155228025,0.4,0.06240506333446225
Lox,-0.33139956140893595,0.0010360636343256949,0.768,0.06412379411004443
Palld,-0.330755145450721,0.0010611848907104732,0.895,0.06534177939877257
Col6a2,-0.3300798498815846,0.0010881036079692236,0.905,0.06611361451557521
3300005D01Rik,-0.3298101985211648,0.0010990249436120371,0.211,0.06611361451557521
Galk1,-0.32959097490872324,0.00110797725414598,0.811,0.06611361451557521
Tceal9,-0.32955787041371043,0.0011093348731094994,0.926,0.06611361451557521
Dgat1,-0.3295161852897324,0.0011110465367278769,0.326,0.06611361451557521
Mex3a,-0.32893056603388227,0.0011353483484888296,0.347,0.06656481182529676
Aldh1a3,-0.3288797408981603,0.0011374801004041266,0.284,0.06656481182529676
Etl4,-0.3287513013622233,0.0011428834528211611,0.295,0.06656481182529676
Prelid1,-0.3286402621341256,0.0011475735860611669,0.895,0.06656481182529676
Slc6a8,-0.32717842478721726,0.0012109725899178167,0.547,0.06950105797713983
Tbcb,-0.3270753803666644,0.0012155594382609615,0.779,0.06950105797713983
Gabbr1,-0.32685879969845993,0.0012252516576258898,0.411,0.06961372267338616
Itgb1,-0.32651976098341284,0.0012405650534895191,0.926,0.06961372267338616
Rpl13a,-0.32651632864801133,0.0012407209671112382,0.968,0.06961372267338616
Rbl2,-0.32632123740272045,0.0012496122879817832,0.537,0.0697864871711501
Rps12,-0.32605439609011955,0.0012618673514199837,0.968,0.07003262661396785
Pak1,-0.32597175114990273,0.0012656850150104958,0.295,0.07003262661396785
Glcci1,-0.3256344330665395,0.0012813759527256902,0.411,0.07025333819350393
Arhgdig,-0.325377237314731,0.0012934583137982807,0.274,0.07059342715352708
Mmd,-0.32497285373581414,0.001312664445884501,0.589,0.07067785651002334
Fermt2,-0.3242615351342938,0.0013470776216218555,0.821,0.07177985342842953
Pgk1,-0.3233528766931901,0.0013922283000246604,0.937,0.07276150873611494
F730043M19Rik,-0.32333109719851805,0.0013933271591499829,0.158,0.07276150873611494
Tpm1,-0.32332207598681095,0.0013937825442913662,0.874,0.07276150873611494
Col8a2,-0.32280742776421284,0.0014199862981018401,0.116,0.07302136686725057
Suv39h1,-0.3225238539936026,0.0014346148441515688,0.211,0.07302136686725057
Pgam1,-0.3224347808604727,0.0014392379279236193,0.884,0.07302136686725057
Ank1,-0.3222993446587083,0.0014462932415747103,0.242,0.07302136686725057
Plod2,-0.32189900869853444,0.0014673317703424906,0.768,0.07319485542698118
Msn,-0.3218964454656442,0.001467467363012242,0.895,0.07319485542698118
Hif1a,-0.3218648497288423,0.00146913968167756,0.874,0.07319485542698118
Smarcd1,-0.32075056198661533,0.001529233645154612,0.526,0.07556176286984127
Trappc5,-0.3198130704684268,0.0015815085036960347,0.716,0.07750682695460526
Gm6093,-0.31955563108942825,0.0015961438905101777,0.263,0.07777185060778462
Chst11,-0.31949041787054533,0.0015998706671210795,0.768,0.07777185060778462
Ilk,-0.31767242164505166,0.001706989026709841,0.842,0.08198326897482025
Efna4,-0.31649101895954834,0.0017800341697084743,0.221,0.08488824791602549
Myo10,-0.31549725811031454,0.0018436534751641801,0.326,0.0874970248074953
Prdx6,-0.31500475538078027,0.0018759383208763086,0.811,0.0883309467402425
Prkcsh,-0.3137541856422682,0.0019602243233545137,0.8,0.09158137529384298
Glg1,-0.3133666629940569,0.0019870281245643493,0.842,0.09247247874445462
Pcgf2,-0.31325660293907054,0.0019947007574592944,0.379,0.09247247874445462
Timp1,-0.3130428698329856,0.002009677217945429,0.958,0.09278899805581103
Sipa1l1,-0.31249571852930325,0.0020484802091772746,0.726,0.0930849704505721
Scarb2,-0.3124783547581751,0.002049722611469552,0.863,0.0930849704505721
Mxi1,-0.3123449292406118,0.002059292107685202,0.6,0.0930849704505721
Prr7,-0.31227153463419693,0.0020645732602812966,0.168,0.0930849704505721
Jag1,-0.31225559031546035,0.002065722157908371,0.453,0.0930849704505721
Fstl3,-0.31219721905948566,0.0020699331315318357,0.379,0.0930849704505721
Slc2a1,-0.3116045470336904,0.002113129890857956,0.568,0.09432100594621368
Vegfa,-0.31142938989651575,0.0021260509455930253,0.568,0.09454627297679798
Wnt11,-0.3108971263377621,0.0021657536548384346,0.211,0.09541311375927074
Slc5a6,-0.31042922929922206,0.00220120600296397,0.105,0.09645941780141747
Nap1l1,-0.3096729923839602,0.0022596130903584795,0.884,0.09808858201385601
Shc4,-0.30943064208908316,0.0022786241127981536,0.105,0.09808858201385601
Eno1,-0.30942294855331826,0.002279229980999902,0.863,0.09808858201385601
Gm56768,-0.3090731397485947,0.002306931354805917,0.853,0.09892615991840946
Col6a1,-0.3086542773424974,0.0023404999229291114,0.905,0.09954061138973744
Dock6,-0.3085096594848558,0.002352191703200955,0.316,0.09954061138973744
Tsku,-0.308482157702598,0.00235442105727371,0.253,0.09954061138973744
Rmc1,-0.30822905157360475,0.0023750279172251062,0.358,0.09971638840463129
Cdc45,-0.3082270882347443,0.00237518839707875,0.137,0.09971638840463129
Ass1,-0.30804365228043457,0.00239022527796175,0.295,0.09999803105396074
Rrm2,-0.3073625725664773,0.0024468086682896094,0.147,0.10170134447879205
Nebl,-0.307235803132592,0.0024574726699964702,0.179,0.10174784258154351
Haus7,-0.3066932075563175,0.002503590791605002,0.337,0.10287539610496894
Csnk1g3,-0.30668607983371216,0.0025042017633194634,0.821,0.10287539610496894
Gtf3c1,-0.30656826960942735,0.002514319635214166,0.632,0.10287539610496894
Traf3ip1,-0.3063666544839938,0.002531720278633568,0.168,0.10287539610496894
Cadm4,-0.3061815922328939,0.0025477875962512816,0.832,0.10287539610496894
Frmd4a,-0.30612305199631973,0.0025528891924267412,0.411,0.10287539610496894
Fkbp10,-0.30572282936339296,0.00258801421477356,0.716,0.10323683281324299
Stil,-0.3055092635807798,0.0026069348630811252,0.137,0.10364724139408964
Rnf149,-0.30508906729670093,0.002644525311197101,0.632,0.10479477033512737
Mdfic,-0.3048404529460443,0.0026669949663135598,0.684,0.105337528159628
Mtres1,-0.3046478913567382,0.0026845163932801915,0.6,0.10568192896431233
Ywhaz,-0.30434296219266904,0.0027124740324797393,0.926,0.10608689155695188
Rplp2,-0.3041335965247081,0.0027318211051141675,0.968,0.10649667535423964
Maged1,-0.30372694000403727,0.002769754178316705,0.926,0.10727883360983445
Plxnd1,-0.3035114265389277,0.0027900486305944476,0.358,0.10771740806285379
Lrsam1,-0.3034034735080262,0.0028002644762201018,0.189,0.10774382622281518
Zfp865,-0.30321976924456867,0.0028177261058419893,0.432,0.10774382622281518
Chaf1a,-0.3031265254283451,0.0028266265728480707,0.232,0.10774382622281518
C130036L24Rik,-0.3028851570183313,0.0028497834863454538,0.137,0.10794116820362733
Aldoa,-0.3023408900796158,0.002902626934758241,0.926,0.10821940569958062
Tmsb10,-0.3023005213364342,0.0029065812048303824,0.916,0.10821940569958062
Nppc,-0.3022439745245793,0.002912128309946692,0.168,0.10821940569958062
Myl9,-0.30219880881591227,0.002916565782073512,0.221,0.10821940569958062
Cul3,-0.30216165656510185,0.0029202204919350477,0.832,0.10821940569958062
Rnaseh2c,-0.3019553953792512,0.0029405855202782652,0.695,0.1084015815112714
Msantd3,-0.30183587933212624,0.0029524440912019347,0.284,0.10840977432128938
Kif21b,-0.30046389806243473,0.0030916816358300494,0.284,0.11249036788306485
Serinc2,-0.3002015922063481,0.003118963136116372,0.326,0.11312946191115493
P4ha1,-0.3001142948268731,0.00312809039347909,0.853,0.11312946191115493
Prkg2,-0.2980608890218868,0.0033498065048911947,0.432,0.12025096322318064
Uaca,-0.2980138275928956,0.0033550489447626815,0.484,0.12025096322318064
Mtmr2,-0.29782484659791786,0.0033761746995081576,0.495,0.12057556421207295
Fam43a,-0.297753425691535,0.0033841896509926362,0.189,0.12057556421207295
Tubgcp6,-0.2974873002509032,0.00341420487934093,0.189,0.12072432470333411
Emilin1,-0.29745161653386815,0.003418247577028295,0.8,0.12072432470333411
Uhrf2,-0.2974491392683905,0.0034185283916993085,0.821,0.12072432470333411
Gm57402,-0.29706382915085644,0.00346245819730262,0.337,0.12191711312320398
Stc2,-0.2966489763250405,0.003510320626794333,0.2,0.12324099346760103
Stx7,-0.2960855086748206,0.003576277323151771,0.811,0.12519055923930997
Setd3,-0.2959809563255396,0.003588636953600351,0.747,0.12525803459848667
Tk1,-0.29575488474544276,0.0036154927067216505,0.211,0.12546595644395045
E2f5,-0.29541026386386005,0.0036567773369180134,0.389,0.1265329264679383
Samd14,-0.2946778250881393,0.00374592489729899,0.179,0.12694246358509292
Rps25,-0.29462817165897986,0.00375203812755225,0.958,0.12694246358509292
Map9,-0.2944846968755072,0.0037697526104491954,0.158,0.12694246358509292
Ikbip,-0.2944081134761052,0.003779238751591022,0.853,0.12694246358509292
Lmna,-0.29395539999027503,0.0038357521254561325,0.884,0.1282893475497264
P3h3,-0.29369868017747863,0.0038681336170951104,0.611,0.1288140980485921
Sh3pxd2a,-0.29360863046452185,0.0038795498256261668,0.768,0.1288140980485921
Pfkl,-0.29343058032710817,0.003902211095594506,0.726,0.1288140980485921
Mxra7,-0.29317614230906125,0.003934799876818325,0.716,0.1294387455368702
Ezh2,-0.29297176182025214,0.003961153079525718,0.579,0.12994284898481864
Syce2,-0.2928897768847751,0.0039717685997691715,0.316,0.12994284898481864
Cdr2,-0.29245377616570534,0.004028650603181423,0.253,0.1307505974149934
Ak4,-0.29225901055162584,0.004054294561252541,0.211,0.13121270834759907
Gpn2,-0.29202867812726996,0.004084809481515561,0.232,0.13159156987701873
Ckap4,-0.2918131155707561,0.004113553230813616,0.916,0.13159156987701873
Usp13,-0.29170120017185386,0.004128547449127316,0.326,0.13159156987701873
Panx1,-0.29165825903074655,0.004134313561764274,0.411,0.13159156987701873
Ankrd35,-0.2916187911253479,0.004139619628664484,0.116,0.13159156987701873
Slc22a21,-0.29134718537326354,0.004176299454245534,0.179,0.13159156987701873
Mmaa,-0.29134072533648475,0.004177175389791732,0.242,0.13159156987701873
Hmga2,-0.2912501612994738,0.004189472508483287,0.168,0.13159156987701873
Hnrnpa0,-0.29120263632252086,0.004195938540674036,0.863,0.13159156987701873
Ubxn2b,-0.2910331939422486,0.004219064637399951,0.4,0.13192267995120108
E130307A14Rik,-0.28995920371152345,0.004368309925775725,0.295,0.13416116391178723
Fnbp1l,-0.2898599241082704,0.004382341047755221,0.389,0.13416116391178723
Igfbp3,-0.28976877370324866,0.004395258645101181,0.274,0.13416116391178723
Dnph1,-0.2896007920487486,0.004419153527996321,0.126,0.13416116391178723
Nrep,-0.28951561742488574,0.004431313553467626,0.411,0.13416116391178723
Fmnl3,-0.2894365169193134,0.0044426331071356195,0.379,0.13416116391178723
Dusp7,-0.28940546021282293,0.004447084470466505,0.526,0.13416116391178723
Reep5,-0.28931052697547655,0.0044607159300167395,0.863,0.1341768222479131
Ska2,-0.2890954583743584,0.004491735477111904,0.389,0.1341768222479131
Vill,-0.28909153565658385,0.004492303035201222,0.274,0.1341768222479131
Pmpca,-0.2889243471934684,0.004516552176534816,0.537,0.13456635727953734
Flnb,-0.2885272105377361,0.004574621422775488,0.779,0.13544716804115464
Gucy1b1,-0.2883289176222013,0.004603864004927465,0.105,0.13544716804115464
Marcksl1,-0.2882618000792313,0.004613799594306009,0.747,0.13544716804115464
Itprip,-0.2880296115146028,0.004648318588151628,0.189,0.13612771045838196
Nr2f1,-0.2877362270751698,0.0046922643030931745,0.158,0.1361916909265434
Mical2,-0.28772753506421117,0.004693571893598793,0.853,0.1361916909265434
Etv4,-0.2876027646600396,0.004712377635781408,0.4,0.136341007886331
Cdc25c,-0.2874619857574862,0.0047336767596701645,0.116,0.13662802128211457
Tspan6,-0.2872271300123708,0.004769400055234904,0.253,0.13732898432423382
Mdga1,-0.2870966662117392,0.004789348085055508,0.158,0.13737620930892597
Hic1,-0.2869922675225778,0.004805364196697669,0.368,0.13737620930892597
Pdgfrl,-0.28660543192410876,0.004865126208516564,0.116,0.13831296592363312
Csrnp1,-0.28651864890181145,0.004878623761142624,0.326,0.13831296592363312
Ing1,-0.28646919560299067,0.00488633023679363,0.674,0.13831296592363312
Lef1,-0.28635562862719355,0.004904068781465701,0.137,0.13831296592363312
Eogt,-0.28620013989101384,0.004928448201571401,0.253,0.13831296592363312
Hspb7,-0.286190330069101,0.004929989914989654,0.211,0.13831296592363312
Inava,-0.28613438712916733,0.004938790121301146,0.242,0.13831296592363312
Tmem263,-0.2861152367774446,0.0049418058117130514,0.768,0.13831296592363312
Casp8,-0.2857557540286213,0.004998719980987908,0.716,0.13835672398627216
Wee1,-0.2855093028308041,0.005038074860457404,0.274,0.13906244792991276
Enc1,-0.2853875668238666,0.005057615915694734,0.716,0.13928163830217127
Lppos,-0.2851682664597623,0.005092988131985148,0.4,0.13956073097434
Lrrc59,-0.28510878419909585,0.005102620213020342,0.737,0.13956073097434
Snai2,-0.28481159046105453,0.005150988430505491,0.179,0.14056345019336233
Anapc5,-0.2843856330207267,0.0052210236280906125,0.811,0.14182993371602712
Impdh1,-0.2842328273487769,0.005246353166188045,0.358,0.14219630353593646
Nectin1,-0.2841348835764307,0.005262646001452792,0.358,0.14227481947605508
Spryd3,-0.2839309309996525,0.005296717647818305,0.379,0.14259571479227443
Incenp,-0.2836536723908143,0.0053433498351253324,0.316,0.1426494479921658
Camta1,-0.2836408027105842,0.005345523219530947,0.611,0.1426494479921658
Degs1,-0.283566324913955,0.005358116185930438,0.8,0.1426494479921658
Acot7,-0.28314998602785224,0.005428998827307822,0.642,0.14367664235826955
Ccnf,-0.28302063824198936,0.005451189492997608,0.105,0.14385149943389514
Ankrd44,-0.2827698740907515,0.005494439677911763,0.695,0.1446748623085231
Csrp1,-0.282336173905485,0.005569961031850644,0.789,0.1453375203074501
Sphk1,-0.2822654063112212,0.005582371032108258,0.263,0.1453375203074501
Lsm8,-0.28220927172149196,0.005592232396272336,0.674,0.1453375203074501
Haus6,-0.28196799685110163,0.005634794284821111,0.295,0.14612737576208873
Kcnk2,-0.28189065797788493,0.005648497892881169,0.105,0.14616705646513833
Jade1,-0.28161088776489346,0.00569831745146177,0.674,0.1463606585557884
Nkain1,-0.28157499054355617,0.005704737919889145,0.211,0.1463606585557884
Dtl,-0.28135600431106617,0.0057440443188679765,0.189,0.147054883020571
Pde4dip,-0.28122285679187553,0.005768060581112541,0.705,0.14735553914344315
Dynlt1a,-0.2808485546338883,0.005836052524965945,0.337,0.14877597169270934
Emid1,-0.2805339768110502,0.005893744237138833,0.116,0.1496437042085962
Pole,-0.28040333096859404,0.005917852136772048,0.158,0.1496437042085962
Gm14327,-0.2801149160041669,0.0059713827288184205,0.263,0.15062687484227474
Lclat1,-0.28003462453155287,0.005986361213678871,0.411,0.15068813226969016
Xpnpep1,-0.2794015228366722,0.0061056384655003735,0.737,0.15304885397758453
Mki67,-0.2790746297747012,0.006168046033231979,0.242,0.15429110150211744
Adamts6,-0.2788860906410655,0.0062042966302339846,0.337,0.1547518588748578
Trmt10c,-0.2788448945109898,0.006212242523334842,0.4,0.1547518588748578
Nav3,-0.2783667864263033,0.006305121249389962,0.168,0.15571491757347974
Tacc1,-0.27834959356836986,0.006308483966537847,0.684,0.15571491757347974
1700025G04Rik,-0.27823580732674763,0.006330779250766714,0.684,0.15571491757347974
Gm12184,-0.2781904840999788,0.006339679296148127,0.147,0.15571491757347974
Ccdc138,-0.2781812818625298,0.0063414876761740974,0.263,0.15571491757347974
Col27a1,-0.2777802327813886,0.006420744913426489,0.474,0.15670702617398263
Racgap1,-0.27763010577542757,0.006450638491310957,0.263,0.15710510418898715
Stard13,-0.2773225531489493,0.006512263849211641,0.368,0.15795259960369376
H3c3,-0.27727151441627396,0.006522540893314049,0.116,0.15795259960369376
Gnai2,-0.2772598022206802,0.006524901257885576,0.895,0.15795259960369376
C1qtnf6,-0.27684845588282603,0.006608280920882464,0.716,0.1596491529517822
Tiprl,-0.27651037689674457,0.006677513504258114,0.674,0.1606751596104753
Cfl1,-0.276397955635646,0.00670067707918987,0.926,0.16091005937966554
Thoc6,-0.2763099345694983,0.006718862738440331,0.432,0.16102472036018575
Mb21d2,-0.2761135692164013,0.00675959031225253,0.295,0.16167808940082892
Commd7,-0.27541819020281755,0.006905577421127826,0.716,0.16414902070210255
Prdx4,-0.27538951014383944,0.006911657855162689,0.811,0.16414902070210255
Slc16a2,-0.27525755672464025,0.006939694183856316,0.695,0.16414902070210255
Rnaseh2b,-0.275155937699231,0.0069613537663125,0.505,0.16414902070210255
Cchcr1,-0.2751377641272927,0.0069652336614413,0.368,0.16414902070210255
2810408I11Rik,-0.27503916907663434,0.006986316141587723,0.137,0.16414902070210255
Olfml3,-0.2749950137174773,0.006995776101418566,0.758,0.16414902070210255
Kat14,-0.2749771408620576,0.006999608445030108,0.358,0.16414902070210255
Pclaf,-0.27463114454011367,0.007074164245579999,0.179,0.16525192625813045
