sample,treatment,pseudotime,pseudotime_rank,window,iCAF,myCAF,pc1_siggenes
GSM9850799,RMC6236,0.028514759417537228,74,W4,0.490696225071225,0.4621814656536878,4.098709113773264
GSM9850799,RMC6236,0.08528213042101934,81,W4,0.5174699271921495,0.4321877967711301,-0.6752050439990552
GSM9850799,RMC6236,0.16679774058246288,88,W4,0.5905720758151314,0.4237743352326685,3.063570622767866
GSM9850799,RMC6236,0.16764601139601143,89,W4,0.6631474556821779,0.4955014442861665,2.2045736323330476
GSM9850799,RMC6236,0.009232055238999615,70,W3,0.5898672443811332,0.5806351891421336,1.2161064602204121
GSM9850799,RMC6236,0.17229789886039898,91,W4,0.5582635921177589,0.3859656932573599,3.225164651079149
GSM9850799,RMC6236,0.19133576685660025,92,W4,0.7433795307059196,0.5520437638493193,2.568891596093168
GSM9850799,RMC6236,-0.16427765906932568,25,W2,0.5754441674580564,0.739721826527382,-1.2209724937456425
GSM9850799,RMC6236,-0.08005895853118072,43,W2,0.3825379867046534,0.4625969452358341,1.9167621084571524
GSM9850799,RMC6236,-0.09468482905982911,34,W2,0.4516634021842354,0.5463482312440645,2.08281792917736
GSM9850799,RMC6236,-0.018073361823361944,57,W3,0.6849724992086103,0.7030458610319722,-2.670494808417076
GSM9850799,RMC6236,0.009632696264640694,71,W4,0.496426380974992,0.4867936847103513,-0.911175720382635
GSM9850799,RMC6236,0.08877661047799934,83,W4,0.4947595164609052,0.4059829059829059,3.0861012975518505
GSM9850799,RMC6236,0.15857965337132007,86,W4,0.8177281180753403,0.6591484647040202,0.5887097318663421
GSM9850799,RMC6236,0.07384902263374488,79,W4,0.5521970955998733,0.4783480729661284,0.12722049322733878
GSM9850799,RMC6236,-0.1592226574865464,26,W2,0.4023622981956314,0.5615849556821778,-1.9436699228721448
GSM9850799,RMC6236,-0.026343383982272872,54,W3,0.5656062044950935,0.5919495884773663,-1.7220810137602112
GSM9850799,RMC6236,0.10004896723646728,84,W4,0.7849472736625515,0.6848983064260842,-3.9984514383357452
GSM9850799,RMC6236,-0.04350170148781263,53,W3,0.5994084362139918,0.6429101377018044,3.6029993280026176
GSM9850799,RMC6236,-0.09737308088002528,33,W2,0.6307449944602722,0.7281180753402975,2.1798638092104015
GSM9850799,RMC6236,0.08072916666666652,80,W4,0.6412135960747071,0.5604844294080406,0.9569139602610673
GSM9850799,RMC6236,0.0048101654004431005,68,W3,0.5529365503323836,0.5481263849319405,1.0040965549214569
GSM9850799,RMC6236,0.11651976495726502,85,W4,0.7663149928774929,0.6497952279202279,0.18465150210880066
GSM9850799,RMC6236,-0.3632775403608738,6,W1,0.4969506766381766,0.8602282169990504,-3.7338668528011607
GSM9850799,RMC6236,0.1713605967078191,90,W4,0.7404291310541312,0.5690685343463121,0.45286628581319566
GSM9850799,RMC6236,-0.0749421296296296,46,W2,0.4120963912630579,0.4870385208926875,2.4441066493267436
GSM9850799,RMC6236,-0.22177211934156382,19,W1,0.4881093700538145,0.7098814893953783,-0.29835881957691246
GSM9850799,RMC6236,-0.12989919673947453,29,W2,0.4613356679328901,0.5912348646723646,0.5509693207173035
GSM9850799,RMC6236,0.0,60,W3,0.4784989316239317,0.4784989316239317,2.0399668232343324
GSM9850799,RMC6236,-0.1483138453624565,28,W2,0.650462962962963,0.7987768083254195,-1.5696855875419296
GSM9850799,RMC6236,-0.07346816635011072,48,W3,0.4039055080721747,0.4773736744222854,1.5419634667305657
