sample,treatment,cell,Acta2,Bgn,Ccl2,Ccnd1,Cd74,Clec3b,Col12a1,Col14a1,Col1a1,Col1a2,Col3a1,Col5a1,Col5a2,Col6a1,Col6a2,Col6a3,Csf2,Cxcl1,Cxcl2,Cxcl3,Dcn,Dusp4,Dusp6,Etv1,Etv4,Etv5,Fn1,Fosl1,H2-Aa,H2-Ab1,Has1,Hgf,Hspg2,Igfbp2,Igfbp3,Igfbp7,Il6,Lum,Ly6c1,Mmp1a,Mmp3,Plau,Postn,Saa3,Serpine1,Slpi,Sparc,Spry2,Spry4,Tagln,Thbs1,Thbs2,Thy1,Tnc,Vcan,Vegfa,myCAF,iCAF,apCAF,SASP,matrisome_core,MAPK_targets,RASON_inhibition_PD
GSM9850799,RMC6236,43,0.819815408357075,0.9937826448243114,0.39065467711301044,0.9780240978157645,0.9998367758784426,0.9909039648622981,0.39065467711301044,0.39065467711301044,0.9974922839506173,0.9992135565052231,0.9997774216524217,0.8798373694207028,0.9372922602089269,0.9903104226020892,0.9621913580246914,0.9372922602089269,0.39065467711301044,0.39065467711301044,0.819815408357075,0.39065467711301044,1.0000148385565053,0.39065467711301044,0.819815408357075,0.819815408357075,0.39065467711301044,0.9148860398860399,0.969284188034188,0.39065467711301044,0.9996290360873694,0.9995845204178537,0.39065467711301044,0.39065467711301044,0.39065467711301044,0.39065467711301044,0.39065467711301044,0.991883309591643,0.39065467711301044,0.39065467711301044,0.39065467711301044,0.39065467711301044,0.39065467711301044,0.9148860398860399,0.39065467711301044,0.999540004748338,0.39065467711301044,0.9979522792022792,0.9967800332383666,0.9148860398860399,0.819815408357075,0.39065467711301044,0.9521456552706553,0.39065467711301044,0.39065467711301044,0.39065467711301044,0.819815408357075,0.39065467711301044,0.46218146565368784,0.49069622507122507,0.9993085232668566,0.501699014719848,0.8099212150747238,0.7154673815553445,0.7469623355040023
GSM9850799,RMC6236,45,0.4321877967711301,0.9777570037986705,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.943880579297246,0.4321877967711301,0.4321877967711301,0.9992135565052231,0.9997180674264008,0.9998367758784426,0.9846569325735992,0.9972103513770181,0.9978632478632479,0.943880579297246,0.9916013770180437,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.9995251661918328,0.943880579297246,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.9978632478632479,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.9933374881291548,0.4321877967711301,0.4321877967711301,0.943880579297246,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.9933374881291548,0.4321877967711301,0.9658861585944919,0.9994806505223172,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.4321877967711301,0.8968720322886989,0.8968720322886989,0.4321877967711301,0.5174699271921495,0.6511574074074075,0.501929012345679,0.8389344979257258,0.489042550385143,0.4321877967711302
GSM9850799,RMC6236,83,0.42377433523266855,0.9747892924976258,0.9893607549857549,0.9392064339981007,0.8853424738841406,0.8853424738841406,0.42377433523266855,0.9629926400759734,0.9955039173789174,0.9977297008547008,0.9977297008547008,0.42377433523266855,0.981184710351377,0.42377433523266855,0.8853424738841406,0.42377433523266855,0.42377433523266855,0.42377433523266855,0.42377433523266855,0.42377433523266855,0.9999554843304843,0.42377433523266855,0.42377433523266855,0.9629926400759734,0.42377433523266855,0.8853424738841406,0.9965574548907882,0.42377433523266855,0.42377433523266855,0.8853424738841406,0.42377433523266855,0.42377433523266855,0.9392064339981007,0.42377433523266855,0.42377433523266855,0.9924620132953467,0.42377433523266855,0.42377433523266855,0.42377433523266855,0.42377433523266855,0.42377433523266855,0.9392064339981007,0.42377433523266855,0.9949103751187085,0.42377433523266855,0.9893607549857549,0.9981600189933523,0.8853424738841406,0.42377433523266855,0.42377433523266855,0.42377433523266855,0.42377433523266855,0.42377433523266855,0.42377433523266855,0.9747892924976258,0.42377433523266855,0.42377433523266855,0.5905720758151314,0.8357460826210825,0.5416104921313254,0.7437443769680611,0.643528410889522,0.6292841032424367
GSM9850799,RMC6236,87,0.8764690170940171,0.968022910731244,0.985636277302944,0.4193079297245964,0.9821047008547008,0.4193079297245964,0.4193079297245964,0.968022910731244,0.9978187321937322,0.999272910731244,0.999540004748338,0.9301697530864198,0.9948658594491928,0.9544307929724596,0.9544307929724596,0.985636277302944,0.4193079297245964,0.4193079297245964,0.8764690170940171,0.4193079297245964,0.9999851614434948,0.8764690170940171,0.4193079297245964,0.4193079297245964,0.4193079297245964,0.968022910731244,0.992224596391263,0.4193079297245964,0.9301697530864198,0.987832383665717,0.8764690170940171,0.4193079297245964,0.985636277302944,0.4193079297245964,0.4193079297245964,0.9962458452041786,0.8764690170940171,0.4193079297245964,0.4193079297245964,0.4193079297245964,0.4193079297245964,0.8764690170940171,0.4193079297245964,0.9998664529914529,0.4193079297245964,0.9992432336182336,0.9995103276353277,0.8764690170940171,0.4193079297245964,0.4193079297245964,0.4193079297245964,0.4193079297245964,0.4193079297245964,0.4193079297245964,0.4193079297245964,0.4193079297245964,0.4955014442861665,0.6631474556821779,0.9798433048433048,0.5989328958078959,0.8040732618583495,0.5818676136963175,0.5630045109211775
GSM9850799,RMC6236,146,0.966553893637227,0.9940200617283951,0.9949400522317189,0.8642420465337132,0.966553893637227,0.41325379867046536,0.41325379867046536,0.9430941358024691,0.9967058404558404,0.9975961538461539,0.9995103276353277,0.9771486229819563,0.9799085944919278,0.966553893637227,0.966553893637227,0.9430941358024691,0.41325379867046536,0.41325379867046536,0.41325379867046536,0.41325379867046536,0.9998367758784426,0.9183434235517569,0.8642420465337132,0.8642420465337132,0.9430941358024691,0.8642420465337132,0.997343898385565,0.41325379867046536,0.9729789886039886,0.9799085944919278,0.41325379867046536,0.41325379867046536,0.9430941358024691,0.41325379867046536,0.41325379867046536,0.997343898385565,0.41325379867046536,0.8642420465337132,0.9430941358024691,0.41325379867046536,0.41325379867046536,0.41325379867046536,0.41325379867046536,0.9999554843304843,0.8642420465337132,0.9571017331433999,0.9995696818613485,0.9430941358024691,0.41325379867046536,0.41325379867046536,0.41325379867046536,0.41325379867046536,0.8642420465337132,0.41325379867046536,0.8642420465337132,0.8642420465337132,0.5806351891421336,0.5898672443811332,0.9752997388414055,0.5609504307420973,0.8496018580996652,0.7875563865147197,0.7579174297924297
GSM9850799,RMC6236,182,0.3859656932573599,0.9872833570750238,0.3859656932573599,0.8112832383665717,0.9929962013295347,0.9944355413105413,0.3859656932573599,0.3859656932573599,0.9932484567901234,0.9985309829059829,0.998872269705603,0.9099002849002849,0.949266975308642,0.9595500949667616,0.9760208926875593,0.9099002849002849,0.3859656932573599,0.3859656932573599,0.8112832383665717,0.3859656932573599,1.0000148385565053,0.3859656932573599,0.3859656932573599,0.8731303418803419,0.3859656932573599,0.8112832383665717,0.8112832383665717,0.3859656932573599,0.9815705128205128,0.9595500949667616,0.8112832383665717,0.3859656932573599,0.9595500949667616,0.3859656932573599,0.3859656932573599,0.9982787274453941,0.3859656932573599,0.3859656932573599,0.3859656932573599,0.3859656932573599,0.3859656932573599,0.3859656932573599,0.3859656932573599,0.9718364197530864,0.3859656932573599,0.9904736467236467,0.9964535849952516,0.8112832383665717,0.3859656932573599,0.3859656932573599,0.3859656932573599,0.3859656932573599,0.3859656932573599,0.3859656932573599,0.949266975308642,0.8731303418803419,0.3859656932573599,0.5582635921177589,0.9792853751187085,0.4948796381088047,0.8067879367221472,0.5818676136963172,0.5682446411613078
GSM9850799,RMC6236,220,0.9497714862298196,0.9933226495726496,0.997343898385565,0.9417141500474834,0.9991245251661919,0.9608558879392213,0.3655923551756885,0.9417141500474834,0.995874881291548,0.9975219610636278,0.9979374406457739,0.8717800332383666,0.9874910968660968,0.9886485042735043,0.9878620607787274,0.9680377492877493,0.3655923551756885,0.9945394112060779,0.9560927113010447,0.3655923551756885,0.9999258072174739,0.7700468898385565,0.9608558879392213,0.831983024691358,0.3655923551756885,0.7700468898385565,0.9962310066476733,0.3655923551756885,0.9942129629629629,0.99534069325736,0.3655923551756885,0.7700468898385565,0.9497714862298196,0.3655923551756885,0.3655923551756885,0.9968690645773979,0.3655923551756885,0.9882181861348528,0.831983024691358,0.3655923551756885,0.3655923551756885,0.3655923551756885,0.3655923551756885,0.9998961301044634,0.3655923551756885,0.9971509971509972,0.9988871082621082,0.8717800332383666,0.3655923551756885,0.3655923551756885,0.7700468898385565,0.3655923551756885,0.9001216761633428,0.3655923551756885,0.9417141500474834,0.7700468898385565,0.5520437638493193,0.7433795307059196,0.9971450617283951,0.6006912647537648,0.8700025303643727,0.6936893267911786,0.6630248609415276
GSM9850799,RMC6236,226,0.9745518755935423,0.9958897198480532,0.9920168566001899,0.4084015906932574,0.8541963437796771,0.4084015906932574,0.8541963437796771,0.4084015906932574,0.9987683998100665,0.9995548433048433,0.9999554843304843,0.9672958214624882,0.9948658594491928,0.9913046058879392,0.9927291073124407,0.9856066001899335,0.4084015906932574,0.9095293209876543,0.8541963437796771,0.4084015906932574,0.9998961301044634,0.4084015906932574,0.8541963437796771,0.9563301282051282,0.9095293209876543,0.9563301282051282,0.999198717948718,0.4084015906932574,0.4084015906932574,0.8541963437796771,0.4084015906932574,0.9563301282051282,0.9672958214624882,0.4084015906932574,0.9385832146248813,0.996809710351377,0.9095293209876543,0.4084015906932574,0.4084015906932574,0.4084015906932574,0.4084015906932574,0.8541963437796771,0.9095293209876543,0.9997477445394112,0.4084015906932574,0.4084015906932574,0.9996587132003799,0.9095293209876543,0.8541963437796771,0.8541963437796771,0.4084015906932574,0.4084015906932574,0.4084015906932574,0.4084015906932574,0.9385832146248813,0.9794782763532763,0.739721826527382,0.5754441674580564,0.704988722697056,0.7073211318002984,0.8617757222472137,0.7405907064471879,0.7572263770180437
GSM9850799,RMC6236,380,0.3825379867046534,0.9922542735042735,0.9608410493827161,0.8628917378917379,0.9880252849002849,0.3825379867046534,0.3825379867046534,0.3825379867046534,0.9959045584045584,0.9987980769230769,0.9985309829059829,0.8030033238366572,0.9880252849002849,0.952665004748338,0.9783950617283951,0.9880252849002849,0.3825379867046534,0.3825379867046534,0.3825379867046534,0.3825379867046534,0.9984419515669516,0.3825379867046534,0.9608410493827161,0.3825379867046534,0.9241749762583096,0.3825379867046534,0.9990206552706553,0.8030033238366572,0.899201685660019,0.941224477682811,0.3825379867046534,0.3825379867046534,0.9608410493827161,0.3825379867046534,0.3825379867046534,0.9947768281101614,0.3825379867046534,0.3825379867046534,0.3825379867046534,0.3825379867046534,0.3825379867046534,0.8030033238366572,0.3825379867046534,0.9999851614434948,0.8030033238366572,0.9998070987654321,0.997076804368471,0.952665004748338,0.8628917378917379,0.3825379867046534,0.899201685660019,0.8628917378917379,0.3825379867046534,0.3825379867046534,0.952665004748338,0.3825379867046534,0.4625969452358341,0.3825379867046534,0.9656487416904083,0.5276431708723376,0.8691239316239316,0.7237868655692731,0.8212865452448787
GSM9850799,RMC6236,418,0.8462577160493827,0.9901768755935423,0.9838556505223172,0.37274453941120606,0.9972400284900285,0.8462577160493827,0.37274453941120606,0.37274453941120606,0.9964239078822412,0.9996141975308642,0.9974032526115859,0.9765550807217473,0.9914678300094967,0.9838556505223172,0.9789440883190883,0.9693880579297246,0.37274453941120606,0.37274453941120606,0.37274453941120606,0.37274453941120606,0.9998070987654321,0.8837399097815765,0.7846331908831908,0.37274453941120606,0.37274453941120606,0.7846331908831908,0.9942129629629629,0.37274453941120606,0.9906220322886989,0.9945690883190883,0.37274453941120606,0.37274453941120606,0.9513592117758785,0.37274453941120606,0.37274453941120606,0.9936787749287749,0.37274453941120606,0.37274453941120606,0.37274453941120606,0.37274453941120606,0.37274453941120606,0.7846331908831908,0.37274453941120606,0.9994212962962963,0.9408535137701804,0.9974477682811016,0.999272910731244,0.37274453941120606,0.37274453941120606,0.37274453941120606,0.8462577160493827,0.37274453941120606,0.9408535137701804,0.37274453941120606,0.8837399097815765,0.37274453941120606,0.5463482312440645,0.45166340218423545,0.9958600427350428,0.5307476088726089,0.8447082583595742,0.5210526142239105,0.49042701126034455
