gene	GSM9850794	GSM9850795	GSM9850796	GSM9850797	GSM9850798	GSM9850799	GSM9850800
Panx2	1	0	1	1	0	0	1
Panx3	0	0	1	1	0	0	0
Paox	408	50	119	243	29	26	31
Papln	3	2	21	18	11	3	2
Papola	3089	347	1954	2968	541	312	297
Papolb	7	1	5	8	4	0	1
Papolg	156	43	142	134	61	25	20
Pappa	3009	238	2957	2059	179	142	130
Pappa2	82	8	144	91	3	0	8
Papss1	860	156	597	863	171	100	118
Papss2	589	47	410	636	123	31	23
Paqr3	57	6	92	91	13	7	8
Paqr4	186	30	63	100	34	13	7
Paqr5	39	3	16	6	1	15	10
Paqr6	43	17	23	13	8	3	6
Paqr7	172	32	98	95	19	19	14
Paqr8	97	16	78	66	14	12	2
Paqr9	1	0	2	3	0	0	0
Pard3	1054	152	2957	3756	959	203	159
Pard3b	364	89	2705	3859	1759	186	99
Pard3bos1	2	0	35	42	22	1	1
Pard3bos2	0	0	0	0	0	0	0
Pard3bos3	1	0	22	9	7	0	3
Pard6a	262	38	72	98	15	16	14
Pard6b	30	20	41	13	14	9	8
Pard6g	327	25	306	276	43	15	32
Parg	563	81	708	720	248	79	55
Park7	5999	694	2336	2694	560	430	420
Parl	1112	107	421	618	94	78	81
Parm1	446	74	618	291	85	15	15
Parn	436	63	503	444	151	64	36
Parp1	964	141	436	739	154	87	83
Parp10	225	51	145	182	41	41	19
Parp11	217	64	96	226	72	28	16
Parp12	361	106	284	418	100	37	28
Parp14	557	205	443	867	292	96	32
Parp16	120	32	103	155	55	8	16
Parp2	554	77	293	376	106	52	41
Parp3	1775	236	739	1052	277	85	61
Parp4	575	163	720	772	251	119	65
Parp6	273	53	230	265	70	35	38
Parp8	767	73	2098	3479	492	144	111
Parp9	509	120	466	586	162	88	56
Parpbp	37	9	23	63	4	8	26
Pars2	34	12	13	12	5	4	6
Parva	4387	416	3351	3587	835	300	315
Parvaos	50	3	28	61	16	3	0
Parvb	217	50	224	177	13	20	20
Parvg	44	8	37	49	5	14	0
Pask	51	3	14	30	4	6	5
Pate1	0	0	0	0	0	0	0
Pate10	0	0	0	0	0	0	0
Pate11	0	0	0	0	0	0	0
Pate12	0	0	0	0	0	0	0
Pate13	0	0	0	0	0	0	0
Pate14	0	0	0	0	0	0	0
Pate2	10	1	23	15	7	5	2
Pate3	0	0	0	0	0	0	0
Pate4	2	0	1	1	0	0	0
Pate5	0	0	0	0	0	0	0
Pate6	0	0	0	0	0	0	0
Pate7	0	0	0	0	0	0	0
Pate8	0	0	0	0	0	0	0
Pate9	0	0	0	0	0	0	0
Patj	49	30	150	157	37	33	17
Patl1	297	59	430	448	97	52	53
Patl2	0	0	37	46	1	1	0
Patz1	235	67	191	184	56	23	42
Paupar	0	0	1	0	0	0	0
Pawr	267	32	1102	493	178	64	63
Pax1	5	2	0	76	1	0	0
Pax2	3	0	0	0	0	1	1
Pax3	6	0	20	0	0	0	5
Pax4	0	0	0	0	0	0	0
Pax5	5	20	7	4	42	5	2
Pax6	4	1	0	0	0	0	0
Pax6os1	0	0	4	37	1	0	0
Pax7	0	0	1	0	24	0	0
Pax8	0	1	0	1	0	0	0
Pax9	47	2	20	45	0	9	11
Paxbp1	792	101	988	966	255	80	66
Paxip1	209	42	209	244	58	26	24
Paxx	707	129	237	334	100	60	34
Pbdc1	1869	169	561	819	196	80	102
Pbk	393	46	65	161	0	10	78
Pbld1	8	0	8	4	2	0	0
Pbld2	9	2	20	17	4	1	0
Pbp2	99	5	16	38	0	0	3
Pbrm1	4324	609	2849	3681	925	373	340
Pbsn	0	0	1	0	0	0	0
Pbx1	4011	1141	10456	11408	3646	741	746
Pbx2	756	108	343	394	64	53	46
Pbx3	382	37	1168	1275	177	71	57
Pbx4	35	9	38	28	17	20	7
Pbxip1	2764	526	1641	1850	359	181	123
Pcare	0	0	0	0	0	0	0
Pcbd1	497	51	154	77	36	23	38
Pcbd2	1106	130	528	718	189	96	72
Pcbp1	5854	762	2908	3966	653	504	520
Pcbp2	8915	1217	5841	6634	1038	838	869
Pcbp3	296	47	526	637	164	55	43
Pcbp4	889	70	345	479	65	19	43
Pcca	434	65	678	997	268	85	47
Pccb	510	89	285	377	82	42	32
Pcdh1	156	14	72	44	35	6	4
Pcdh10	68	2	21	55	2	0	1
Pcdh11x	42	30	403	790	126	4	132
Pcdh12	47	0	8	4	9	0	1
Pcdh15	3	81	208	101	37	186	28
Pcdh17	97	4	88	34	9	6	3
Pcdh18	339	118	197	333	185	22	14
Pcdh19	979	210	931	2081	538	13	44
Pcdh20	5	6	0	36	13	0	0
Pcdh7	2212	361	6080	7889	2179	679	467
Pcdh8	0	0	2	0	1	0	0
Pcdh9	193	25	1045	1117	685	15	99
Pcdha1	2	0	0	0	0	0	0
Pcdha11	0	0	0	0	2	0	0
Pcdha12	0	0	0	1	0	0	0
Pcdha2	0	0	0	0	0	0	0
Pcdha3	0	0	0	0	0	0	0
Pcdha4	1	0	0	0	0	0	0
Pcdha5	2	0	0	0	1	0	0
Pcdha6	1	0	0	0	0	0	0
Pcdha7	0	0	0	0	0	0	0
Pcdha8	0	0	0	0	1	0	0
Pcdha9	2	0	0	0	0	1	0
Pcdhac1	0	0	0	0	0	0	0
Pcdhac2	2	1	0	2	0	2	0
Pcdhb1	0	0	0	0	0	0	0
Pcdhb10	12	5	1	3	2	0	0
Pcdhb11	47	11	19	33	10	1	0
Pcdhb12	41	6	9	21	5	0	2
Pcdhb13	14	6	7	6	3	0	0
Pcdhb14	136	21	78	110	25	6	2
Pcdhb15	15	3	4	11	2	0	0
Pcdhb16	203	19	97	123	46	3	1
Pcdhb17	176	34	128	159	42	13	6
Pcdhb18	36	7	29	16	7	1	0
Pcdhb19	89	18	52	76	14	12	9
Pcdhb2	23	0	4	4	1	0	0
Pcdhb20	111	17	67	62	27	4	2
Pcdhb21	122	27	51	76	10	6	2
