signature,median_tumor,median_adjacent,median_mid,median_distal,p_adjacent_vs_distal,spearman_dist_rho,spearman_p
myCAF,0.8483670512177451,0.8116860799940553,0.7902199557859145,0.6598580690705753,4.822575001085048e-161,-0.47307536350211876,6.319404411106496e-208
iCAF,0.48830246397542837,0.4954547424870114,0.5076600593236607,0.5192213614718213,8.852918693320715e-46,0.24485497242530696,3.472128591043053e-52
apCAF,0.7158292927604079,0.7193264782923703,0.7236248119043638,0.725652064872095,1.1263507193213277e-11,0.11149705722631517,8.046777699149216e-12
