gene,dataset,celltype,value
MET,PAAD_GSE141017,B,0.0
MET,PAAD_GSE111672,B,0.03
MET,PAAD_CRA001160,B,0.02
MET,PAAD_GSE165399,Plasma,0.01
MET,PAAD_GSE162708,Plasma,0.0
MET,PAAD_GSE158356,Plasma,0.0
MET,PAAD_GSE154778,Plasma,0.32
MET,PAAD_GSE154763,Plasma,0.0
MET,PAAD_GSE141017,Plasma,0.0
MET,PAAD_GSE111672,Plasma,0.03
MET,PAAD_CRA001160,Plasma,0.03
MET,PAAD_GSE165399,DC,0.01
MET,PAAD_GSE162708,DC,0.0
MET,PAAD_GSE158356,DC,0.0
MET,PAAD_GSE154778,DC,0.32
MET,PAAD_GSE154763,DC,0.01
MET,PAAD_GSE141017,DC,0.0
MET,PAAD_GSE111672,DC,0.03
MET,PAAD_CRA001160,DC,0.01
MET,PAAD_GSE165399,Mono/Macro,0.02
MET,PAAD_GSE162708,Mono/Macro,0.0
MET,PAAD_GSE158356,Mono/Macro,0.01
MET,PAAD_GSE154778,Mono/Macro,0.02
MET,PAAD_GSE154763,Mono/Macro,0.01
MET,PAAD_GSE141017,Mono/Macro,0.0
MET,PAAD_GSE111672,Mono/Macro,0.0
MET,PAAD_CRA001160,Mono/Macro,0.02
MET,PAAD_GSE165399,Mast,0.02
MET,PAAD_GSE162708,Mast,0.0
MET,PAAD_GSE158356,Mast,0.01
MET,PAAD_GSE154778,Mast,0.02
MET,PAAD_GSE154763,Mast,0.0
MET,PAAD_GSE141017,Mast,0.0
MET,PAAD_GSE111672,Mast,0.15
MET,PAAD_CRA001160,Mast,0.02
MET,PAAD_GSE165399,Endothelial,0.05
MET,PAAD_GSE162708,Endothelial,0.14
MET,PAAD_GSE158356,Endothelial,0.01
MET,PAAD_GSE154778,Endothelial,0.02
MET,PAAD_GSE154763,Endothelial,0.0
MET,PAAD_GSE141017,Endothelial,0.0
MET,PAAD_GSE111672,Endothelial,0.32
MET,PAAD_CRA001160,Endothelial,0.09
MET,PAAD_GSE165399,Fibroblasts,0.0
MET,PAAD_GSE162708,Fibroblasts,0.0
MET,PAAD_GSE158356,Fibroblasts,0.06
MET,PAAD_GSE154778,Fibroblasts,0.02
MET,PAAD_GSE154763,Fibroblasts,0.0
MET,PAAD_GSE141017,Fibroblasts,0.01
MET,PAAD_GSE111672,Fibroblasts,0.0
MET,PAAD_CRA001160,Fibroblasts,0.02
MET,PAAD_GSE165399,Epithelial,0.0
MET,PAAD_GSE162708,Epithelial,0.0
MET,PAAD_GSE158356,Epithelial,0.27
MET,PAAD_GSE154778,Epithelial,0.17
MET,PAAD_GSE154763,Epithelial,0.0
MET,PAAD_GSE141017,Epithelial,0.01
MET,PAAD_GSE111672,Epithelial,0.0
MET,PAAD_CRA001160,Epithelial,0.02
MET,PAAD_GSE165399,Malignant,0.23
MET,PAAD_GSE162708,Malignant,0.03
MET,PAAD_GSE158356,Malignant,0.27
MET,PAAD_GSE154778,Malignant,0.58
MET,PAAD_GSE154763,Malignant,0.0
MET,PAAD_GSE141017,Malignant,0.29
MET,PAAD_GSE111672,Malignant,0.54
MET,PAAD_CRA001160,Malignant,0.29
MET,PAAD_GSE165399,Acinar,0.09
MET,PAAD_GSE162708,Acinar,0.03
MET,PAAD_GSE158356,Acinar,0.0
MET,PAAD_GSE154778,Acinar,0.58
MET,PAAD_GSE154763,Acinar,0.0
MET,PAAD_GSE141017,Acinar,0.29
MET,PAAD_GSE111672,Acinar,0.0
MET,PAAD_CRA001160,Acinar,0.03
MET,PAAD_GSE165399,Ductal,0.08
MET,PAAD_GSE162708,Ductal,0.03
MET,PAAD_GSE158356,Ductal,0.0
MET,PAAD_GSE154778,Ductal,0.58
MET,PAAD_GSE154763,Ductal,0.0
MET,PAAD_GSE141017,Ductal,0.29
MET,PAAD_GSE111672,Ductal,0.4
MET,PAAD_CRA001160,Ductal,0.03
MET,PAAD_GSE165399,Stellate,0.02
MET,PAAD_GSE162708,Stellate,0.03
MET,PAAD_GSE158356,Stellate,0.0
MET,PAAD_GSE154778,Stellate,0.58
MET,PAAD_GSE154763,Stellate,0.0
MET,PAAD_GSE141017,Stellate,0.29
MET,PAAD_GSE111672,Stellate,0.4
MET,PAAD_CRA001160,Stellate,0.01
ERBB2,PAAD_GSE165399,Tprolif,0.02
ERBB2,PAAD_GSE162708,Tprolif,0.0
ERBB2,PAAD_GSE158356,Tprolif,0.0
ERBB2,PAAD_GSE154778,Tprolif,0.0
ERBB2,PAAD_GSE154763,Tprolif,0.0
ERBB2,PAAD_GSE148673,Tprolif,0.0
ERBB2,PAAD_GSE141017,Tprolif,0.0
ERBB2,PAAD_GSE111672,Tprolif,0.4
ERBB2,PAAD_CRA001160,Tprolif,0.0
ERBB2,PAAD_GSE165399,CD8T,0.02
ERBB2,PAAD_GSE162708,CD8T,0.01
ERBB2,PAAD_GSE158356,CD8T,0.02
ERBB2,PAAD_GSE154778,CD8T,0.07
ERBB2,PAAD_GSE154763,CD8T,0.0
ERBB2,PAAD_GSE148673,CD8T,0.01
ERBB2,PAAD_GSE141017,CD8T,0.01
ERBB2,PAAD_GSE111672,CD8T,0.07
ERBB2,PAAD_CRA001160,CD8T,0.0
ERBB2,PAAD_GSE165399,NK,0.02
ERBB2,PAAD_GSE162708,NK,0.01
ERBB2,PAAD_GSE158356,NK,0.02
ERBB2,PAAD_GSE154778,NK,0.07
ERBB2,PAAD_GSE154763,NK,0.0
ERBB2,PAAD_GSE148673,NK,0.22
ERBB2,PAAD_GSE141017,NK,0.01
ERBB2,PAAD_GSE111672,NK,0.07
ERBB2,PAAD_CRA001160,NK,0.0
ERBB2,PAAD_GSE165399,B,0.0
ERBB2,PAAD_GSE162708,B,0.0
ERBB2,PAAD_GSE158356,B,0.0
ERBB2,PAAD_GSE154778,B,0.07
ERBB2,PAAD_GSE154763,B,0.0
ERBB2,PAAD_GSE148673,B,0.0
ERBB2,PAAD_GSE141017,B,0.01
ERBB2,PAAD_GSE111672,B,0.07
ERBB2,PAAD_CRA001160,B,0.09
ERBB2,PAAD_GSE165399,Plasma,0.01
ERBB2,PAAD_GSE162708,Plasma,0.0
ERBB2,PAAD_GSE158356,Plasma,0.0
ERBB2,PAAD_GSE154778,Plasma,0.28
ERBB2,PAAD_GSE154763,Plasma,0.0
ERBB2,PAAD_GSE148673,Plasma,0.0
ERBB2,PAAD_GSE141017,Plasma,0.01
ERBB2,PAAD_GSE111672,Plasma,0.07
ERBB2,PAAD_CRA001160,Plasma,0.2
ERBB2,PAAD_GSE165399,DC,0.01
ERBB2,PAAD_GSE162708,DC,0.0
ERBB2,PAAD_GSE158356,DC,0.0
ERBB2,PAAD_GSE154778,DC,0.28
ERBB2,PAAD_GSE154763,DC,0.01
ERBB2,PAAD_GSE148673,DC,0.0
ERBB2,PAAD_GSE141017,DC,0.01
ERBB2,PAAD_GSE111672,DC,0.07
ERBB2,PAAD_CRA001160,DC,0.11
ERBB2,PAAD_GSE165399,Mono/Macro,0.01
ERBB2,PAAD_GSE162708,Mono/Macro,0.0
ERBB2,PAAD_GSE158356,Mono/Macro,0.01
ERBB2,PAAD_GSE154778,Mono/Macro,0.02
ERBB2,PAAD_GSE154763,Mono/Macro,0.01
ERBB2,PAAD_GSE148673,Mono/Macro,0.0
ERBB2,PAAD_GSE141017,Mono/Macro,0.01
ERBB2,PAAD_GSE111672,Mono/Macro,0.01
ERBB2,PAAD_CRA001160,Mono/Macro,0.1
ERBB2,PAAD_GSE165399,Mast,0.01
ERBB2,PAAD_GSE162708,Mast,0.0
ERBB2,PAAD_GSE158356,Mast,0.01
ERBB2,PAAD_GSE154778,Mast,0.02
ERBB2,PAAD_GSE154763,Mast,0.01
ERBB2,PAAD_GSE148673,Mast,0.0
ERBB2,PAAD_GSE141017,Mast,0.01
ERBB2,PAAD_GSE111672,Mast,0.25
ERBB2,PAAD_CRA001160,Mast,0.1
ERBB2,PAAD_GSE165399,Endothelial,0.01
ERBB2,PAAD_GSE162708,Endothelial,0.03
ERBB2,PAAD_GSE158356,Endothelial,0.01
ERBB2,PAAD_GSE154778,Endothelial,0.02
ERBB2,PAAD_GSE154763,Endothelial,0.01
ERBB2,PAAD_GSE148673,Endothelial,0.0
ERBB2,PAAD_GSE141017,Endothelial,0.01
ERBB2,PAAD_GSE111672,Endothelial,0.05
ERBB2,PAAD_CRA001160,Endothelial,0.17
ERBB2,PAAD_GSE165399,Fibroblasts,0.05
ERBB2,PAAD_GSE162708,Fibroblasts,0.09
ERBB2,PAAD_GSE158356,Fibroblasts,0.17
ERBB2,PAAD_GSE154778,Fibroblasts,0.16
ERBB2,PAAD_GSE154763,Fibroblasts,0.01
ERBB2,PAAD_GSE148673,Fibroblasts,0.0
ERBB2,PAAD_GSE141017,Fibroblasts,0.1
ERBB2,PAAD_GSE111672,Fibroblasts,0.4
ERBB2,PAAD_CRA001160,Fibroblasts,0.25
ERBB2,PAAD_GSE165399,Epithelial,0.05
ERBB2,PAAD_GSE162708,Epithelial,0.09
ERBB2,PAAD_GSE158356,Epithelial,0.34
ERBB2,PAAD_GSE154778,Epithelial,0.54
ERBB2,PAAD_GSE154763,Epithelial,0.01
ERBB2,PAAD_GSE148673,Epithelial,0.73
ERBB2,PAAD_GSE141017,Epithelial,0.1
ERBB2,PAAD_GSE111672,Epithelial,0.4
ERBB2,PAAD_CRA001160,Epithelial,0.25
ERBB2,PAAD_GSE165399,Malignant,0.14
ERBB2,PAAD_GSE162708,Malignant,0.02
ERBB2,PAAD_GSE158356,Malignant,0.34
ERBB2,PAAD_GSE154778,Malignant,0.54
