sample,myCAF,iCAF,apCAF,SASP,matrisome_core,MAPK_targets,RASON_inhibition_PD,condition
02Qeipa01,-1.1136994148896173,-0.7221157472653464,-0.09177342416654273,-0.276354672872835,-1.2256426708020605,1.1478932524615517,1.0798337948773906,02Qeipa
02Qeipa02,-1.1006673417609802,-0.6494875201725611,-0.054732801192666596,-0.17637644500594632,-1.3954346646427112,0.9633975618898172,1.0885101985026657,02Qeipa
02Qeipa03,-1.2355674081195633,-0.8795628023742857,0.8685119219802097,-0.25504955183074457,-1.4473431344019465,1.2278801731183742,1.2314293925727497,02Qeipa
02Qeipa04,-1.0528610342500984,-0.37638476514631414,0.4004437639974563,-0.17651741777279786,-1.137465968790357,1.3523135843972687,1.4929032336743002,02Qeipa
02Qeipa05,-1.2451848813776387,-0.46486367723353333,0.8058007216319003,-0.43970421581478925,-1.314188473265217,1.0555089506052182,1.1155841480394968,02Qeipa
02Qveh01,-0.47138408774418333,-0.9654205553276828,-0.3992978662410117,-0.4442496007048729,-0.34234580817082333,-0.4115537589411926,-0.48924389723275524,02Qveh
02Qveh02,-0.7420875029945805,-0.8076755852957463,-0.4530316691032226,-0.7381824078673194,-0.4792387463718488,-0.3655598777755379,-0.38860641696859105,02Qveh
02Qveh03,-0.5722977739533814,-0.7862202713458394,-0.5274451117286273,-0.8187801329858974,-0.5373170121306187,-0.4216954702934874,-0.4170896765008982,02Qveh
02Qveh04,-0.4302429815446698,-0.7887422690729508,-0.35088169619034393,-0.7947675844367055,-0.31126700814426966,-0.8968375404049286,-1.085102344791045,02Qveh
02Qveh05,-0.5932902996171466,-0.5045785157145642,-0.4119418550097633,-0.9297129053484597,-0.4449046810891906,-0.36998602109695033,-0.4207948746332918,02Qveh
4Qil1a01,0.8470447122615207,1.6419915423006026,1.0593633644975333,1.1492058154577895,1.1733955540754006,-0.3830462254872591,-0.7587215507768041,4Qil1a
4Qil1a02,0.7489568899271672,0.9565165193186694,0.25782602140669564,1.0997387363578992,0.6272616124315296,0.26526232655703313,0.3153597818240984,4Qil1a
4Qil1a03,0.8263025687016854,1.0279137214108458,0.389827778642307,0.9625889790635285,0.6309914365067619,0.20943083396335924,0.3921118222872976,4Qil1a
4Qil1a04,0.963041723174752,0.6823081237692704,0.598163286284853,0.6174784728633469,0.8521150138269896,-0.35701002623417943,-0.35253955832284006,4Qil1a
4Qil1a05,0.9589742204225696,1.0329093490294707,0.1630796837574575,0.3371680793199348,0.9870359578280968,-1.0300859841055212,-1.0736694393765354,4Qil1a
4Qveh01,0.8050138809683153,0.5387364332034285,-0.639496944612355,0.3021526927386653,0.8730456697777185,0.09853590008532882,0.2495203570757035,4Qveh
4Qveh02,0.6336439868804498,0.5144948691472064,-0.6242204293646464,0.3500387007456706,0.7419583003468145,-0.003373050717160961,0.08815527334718436,4Qveh
4Qveh03,0.8512105235341517,0.2458363264681875,-0.250400889763001,0.18281672474778785,0.8184784160770184,-0.33874249210656454,-0.23642157598276836,4Qveh
4Qveh04,0.9146365238736266,0.179946365058583,-0.5030937065993638,0.04821880697418316,0.8950095395958736,-0.5141976362288792,-0.5381020492631364,4Qveh
4Qveh05,1.0084576965076286,0.12439845924255961,-0.23670014822687085,0.0002879263715611305,1.0358566673428349,-1.2281344996862824,-1.2931166183522127,4Qveh
